Feature_ID	Proto-language	gray_parsimony_prediction_0	gray_parsimony_prediction_1	ntips_parsimony_gray	min_parsimony_gray	min_percent_parsimony_gray	gray_parsimony_prediction	Prediction	Parsimony result (Gray et al 2009-tree posteriors)
GB041	Proto-Central Pacific	1	0	96	3	0.03125	Absent	NA	NA
GB041	Proto-Eastern Polynesian	1	0	96	3	0.03125	Absent	NA	NA
GB041	Proto-Oceanic	1	0	96	3	0.03125	Absent	NA	NA
GB041	Proto-Polynesian	1	0	96	3	0.03125	Absent	NA	NA
GB042	Proto-Central Pacific	1	0	129	3	0.023255813953488372	Absent	NA	NA
GB042	Proto-Eastern Polynesian	1	0	129	3	0.023255813953488372	Absent	NA	NA
GB042	Proto-Oceanic	1	0	129	3	0.023255813953488372	Absent	NA	NA
GB042	Proto-Polynesian	1	0	129	3	0.023255813953488372	Absent	NA	NA
GB043	Proto-Central Pacific	1	0	128	2	0.015625	Absent	NA	NA
GB043	Proto-Eastern Polynesian	1	0	128	2	0.015625	Absent	NA	NA
GB043	Proto-Oceanic	1	0	128	2	0.015625	Absent	NA	NA
GB043	Proto-Polynesian	1	0	128	2	0.015625	Absent	NA	NA
GB044	Proto-Central Pacific	1	0	126	15	0.11904761904761904	Absent	NA	NA
GB044	Proto-Eastern Polynesian	1	0	126	15	0.11904761904761904	Absent	NA	NA
GB044	Proto-Oceanic	1	0	126	15	0.11904761904761904	Absent	NA	NA
GB044	Proto-Polynesian	1	0	126	15	0.11904761904761904	Absent	NA	NA
GB046	Proto-Central Pacific	0.47333333333333333	0.5266666666666666	66	21	0.3181818181818182	Half	NA	NA
GB046	Proto-Eastern Polynesian	1	0	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Oceanic	1	0	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Polynesian	0.892	0.108	66	21	0.3181818181818182	Absent	NA	NA
GB047	Proto-Central Pacific	0	1	104	30	0.28846153846153844	Present	NA	NA
GB047	Proto-Eastern Polynesian	0.005	0.995	104	30	0.28846153846153844	Present	NA	NA
GB047	Proto-Oceanic	0	1	104	30	0.28846153846153844	Present	1	True Positive
GB047	Proto-Polynesian	0	1	104	30	0.28846153846153844	Present	NA	NA
GB048	Proto-Central Pacific	0.9853333333333333	0.014666666666666666	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Eastern Polynesian	1	0	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Oceanic	1	0	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Polynesian	0.9853333333333333	0.014666666666666666	95	32	0.3368421052631579	Absent	NA	NA
GB049	Proto-Central Pacific	0	1	102	41	0.4019607843137255	Present	NA	NA
GB049	Proto-Eastern Polynesian	0.8525	0.1475	102	41	0.4019607843137255	Absent	NA	NA
GB049	Proto-Oceanic	0	1	102	41	0.4019607843137255	Present	1	True Positive
GB049	Proto-Polynesian	0	1	102	41	0.4019607843137255	Present	NA	NA
GB051	Proto-Central Pacific	1	0	124	2	0.016129032258064516	Absent	NA	NA
GB051	Proto-Eastern Polynesian	1	0	124	2	0.016129032258064516	Absent	NA	NA
GB051	Proto-Oceanic	1	0	124	2	0.016129032258064516	Absent	0	True Negative
GB051	Proto-Polynesian	1	0	124	2	0.016129032258064516	Absent	NA	NA
GB052	Proto-Central Pacific	1	0	123	3	0.024390243902439025	Absent	NA	NA
