ID	Grambank_ID_desc	Name	OV vs VO types (excl affixes)	OV VO score for counting	Binary_Multistate	ColumnSpec	Patrons	Boundness	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Word_Order	Informativity
GB316	GB316 SingularFree	Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	singular
GB317	GB317 DualFree	Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	dual
GB318	GB318 PluralFree	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	plural
GB319	GB319 TrialFree	Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	trial
GB320	GB320 PaucalFree	Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	paucal
GB321	GB321 GenderUnpredict	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	NA	NA	Binary	NA	HJH	NA	1	1	NA	NA	NA
GB322	GB322 EvidSense	Is there grammatical marking of direct evidence (perceived with the senses)?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	evidentiality_direct
GB323	GB323 EvidIndirect	Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	evidentiality_indirect
GB324	GB324 QV	Is there an interrogative verb for content interrogatives (who?, what?, etc.)?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB325	GB325 QCountMass	Is there a count/mass distinction in interrogative quantifiers?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	count_mass
GB326	GB326 QInSitu	Do (nominal) content interrogatives normally or frequently occur in situ?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB327	GB327 RELPost	Can the relative clause follow the noun?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	1	NA
GB328	GB328 RELPre	Can the relative clause precede the noun?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	0	NA
GB329	GB329 RELInternalHead	Are there internally-headed relative clauses?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB330	GB330 RELCorr	Are there correlative relative clauses?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB331	GB331 RELAdjoined	Are there non-adjacent relative clauses?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB333	GB333 NUMDecimal	Is there a decimal numeral system?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB334	GB334 NUMQuinary	Is there synchronic evidence for any element of a quinary numeral system?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB335	GB335 NUMVigesimal	Is there synchronic evidence for any element of a vigesimal numeral system?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB336	GB336 NUMBodyTally	Is there a body-part tallying system?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	NA
GB400	GB400 PersonNeutralized	Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?	NA	NA	Binary	NA	AWM	NA	NA	NA	NA	NA	NA
GB401	GB401 PatientLabile	Is there a class of patient-labile verbs?	NA	NA	Binary	NA	AWM	NA	NA	NA	NA	NA	NA
GB402	GB402 VSupplSee	Does the verb for 'see' have suppletive verb forms?	NA	NA	Binary	NA	HS	NA	1	NA	NA	NA	NA
GB403	GB403 VSupplCome	Does the verb for 'come' have suppletive verb forms?	NA	NA	Binary	NA	HS	NA	1	NA	NA	NA	NA
GB408	GB408 Accusative	Is there any accusative alignment of flagging?	NA	NA	Binary	NA	AWM	NA	NA	NA	0	NA	NA
GB409	GB409 Ergative	Is there any ergative alignment of flagging?	NA	NA	Binary	NA	AWM	NA	NA	NA	0	NA	NA
GB410	GB410 NeutralAlign	Is there any neutral alignment of flagging?	NA	NA	Binary	NA	AWM	NA	NA	NA	0	NA	NA
GB415	GB415 PRO2PPoliteness	Is there a politeness distinction in 2nd person forms?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	politeness
GB421	GB421 ComplThinkKnowPre	Is there a preposed complementizer in complements of verbs of thinking and/or knowing?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	1	NA
GB422	GB422 ComplThinkKnowPost	Is there a postposed complementizer in complements of verbs of thinking and/or knowing?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	0	NA
GB430	GB430 POSSPfxPosr	Can adnominal possession be marked by a prefix on the possessor?	NA	NA	Binary	NA	HJH	1	NA	NA	0	NA	NA
GB431	GB431 POSSPfxPosd	Can adnominal possession be marked by a prefix on the possessed noun?	NA	NA	Binary	NA	HJH	1	NA	NA	1	NA	NA
GB432	GB432 POSSSfxPosr	Can adnominal possession be marked by a suffix on the possessor?	NA	NA	Binary	NA	HJH	1	NA	NA	0	NA	NA
GB433	GB433 POSSSfxPosd	Can adnominal possession be marked by a suffix on the possessed noun?	NA	NA	Binary	NA	HJH	1	NA	NA	1	NA	NA
GB519	GB519 MoodAuxPart	Can mood be marked by a non-inflecting word (""""""""auxiliary particle"""""""")?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	mood
GB520	GB520 AspectAuxPart	Can aspect be marked by a non-inflecting word (""""""""auxiliary particle"""""""")?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	aspect
GB521	GB521 TenseAuxPart	Can tense be marked by a non-inflecting word (""""""""auxiliary particle"""""""")?	NA	NA	Binary	NA	HS	0	NA	NA	NA	NA	tense
GB522	GB522 PRODrop	Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""""""""pro-drop"""""""" or """"""""null anaphora"""""""")?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
