ID	Grambank_ID_desc	Name	OV vs VO types (excl affixes)	OV VO score for counting	Binary_Multistate	ColumnSpec	Patrons	Boundness	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Word_Order	Informativity
GB052	GB052 GenderShape	Is there a gender/noun class system where shape is a factor in class assignment?	NA	NA	Binary	NA	HJH	NA	1	1	NA	NA	gendershape
GB053	GB053 GenderAnimacy	Is there a gender/noun class system where animacy is a factor in class assignment?	NA	NA	Binary	NA	HJH	NA	1	1	NA	NA	genderanimacy
GB054	GB054 GenderPlants	Is there a gender/noun class system where plant status is a factor in class assignment?	NA	NA	Binary	NA	HJH	NA	1	1	NA	NA	genderplant
GB057	GB057 NUMClassif	Are there numeral classifiers?	NA	NA	Binary	NA	JLA JC	NA	1	0	NA	NA	numera classifers
GB058	GB058 POSSClassifier	Are there possessive classifiers?	NA	NA	Binary	NA	JLA JC	NA	1	0	NA	NA	possessive classifiers
GB059	GB059 POSSAlienability	Is the adnominal possessive construction different for alienable and inalienable nouns?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	alienability
GB065	GB065 POSSPosdPosrOrder	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	NA	NA	Multi	NA	HJH	NA	NA	NA	NA	NA	NA
GB068	GB068 PredAdjLikeV	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB069	GB069 AttrAdjLikeV	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB070	GB070 CoreCaseNoun	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	NA	NA	Binary	NA	JLE	1	NA	NA	0	NA	NA
GB071	GB071 CoreCasePRO	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	NA	NA	Binary	NA	JLE	0.5	NA	NA	0	NA	NA
GB072	GB072 ObliqueCaseNoun	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	NA	NA	Binary	NA	JLE	1	NA	NA	0	NA	NA
GB073	GB073 ObliqueCasePRO	Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?	NA	NA	Binary	NA	JLE	0.5	NA	NA	0	NA	NA
