Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-78.64087507933212,161.37698825390234,0.9781715446418655,0.02182845535813442,0.3468559897395182,0.180322416062156,129,51,78
GB021,-64.57726822003863,133.26073113034275,0.9997094917467985,2.905082532014318e-4,0.14516343748966806,0.2217267844940127,116,74,42
GB022,-67.60018722972421,139.2948626484248,0.9945392728778791,0.005460727122120817,0.2581986289059368,0.06916621613975872,130,49,81
GB023,-61.691329209120234,127.47789651347856,0.781343575697107,0.21865642430289306,0.14677031317668882,0.5660139851342281,129,104,25
GB024a,-72.4068650885512,148.91129115271215,0.06683627696621952,0.9331637230337806,0.09361351200386195,0.22365752108807105,126,65,61
GB024b,-64.13653338551201,132.37062774663377,3.1842257163234027e-4,0.9996815774283677,0.08464583176789688,0.11875156448412547,126,49,77
GB025a,-71.29560258042606,146.68956581658983,0.9996928563884481,3.071436115518665e-4,0.14107526205151566,0.17243751423236553,125,91,34
GB025b,-49.396315958082944,102.8909925719036,4.1992453418169054e-4,0.9995800754658184,0.1693904725592535,0.07632556253040129,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.59919034743137,127.31959281607486,0.13227966058074742,0.8677203394192525,0.5148598812805792,0.20076742584684645,102,34,68
GB028,-9.998765582189138,24.09055442019223,1.564894217539628e-5,0.9999843510578247,0.2508173486238347,0.01174153684326584,132,2,130
GB030,-21.74322242332718,47.58019484665436,0.9998618327500349,1.3816724996506765e-4,0.02955198218537528,0.34764049752077913,131,125,6
GB031,-63.53023728886924,131.15496276671485,0.007354617431990392,0.9926453825680096,0.10127601696798108,0.1425388077790028,130,42,88
GB035,-55.775165694085736,115.66042313129074,0.8408741075832413,0.1591258924167587,0.375633176264295,0.10252785602408317,112,30,82
GB036,-27.619042211024627,59.34919553316037,0.9707174094853815,0.02928259051461848,0.062231858584586824,0.6553655362362717,111,103,8
GB037,-35.40402702324815,74.91916515760741,0.9123735684038693,0.08762643159613065,0.27112804366560844,2.8232346798937082,111,100,11
GB038,-20.74760048947685,45.59864925481577,0.9577411470907106,0.04225885290928946,1.9289308812140302,43.71667349320106,119,114,5
GB039,-41.04598665353316,86.19542158292839,0.8907390706524352,0.10926092934756479,2.668673616865315,21.75610139466807,119,106,13
GB041,-13.39363552697137,30.916303312007255,0.9673744178108774,0.03262558218912262,3.319277792335156,98.41922217048823,96,93,3
GB042,-14.211291781421465,32.517821658081026,0.9746357692486957,0.025364230751304298,0.0683522176137237,2.6253642099372607,129,126,3
GB043,-10.38303912120987,24.86207824241974,0.9818992749694373,0.018100725030562696,0.0679013321866676,3.6832812614695927,128,126,2
GB044,-42.943607212463604,89.98477540053696,0.9971837776005711,0.0028162223994289246,0.07314357679087996,0.38376758886419876,126,111,15
GB046,-41.28242974189474,86.75533567426567,0.6818181821941773,0.3181818178058226,17.742328859232504,38.01927619282032,66,45,21
