Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-78.79628814009601,161.68781437543012,0.9852492035035157,0.01475079649648425,0.34292215996766334,0.17283133737954892,129,51,78
GB021,-65.44795061214026,135.002095914546,0.9995814584619005,4.185415380995259e-4,0.14746289710060625,0.23879227454874152,116,74,42
GB022,-67.08336353635393,138.26121526168424,0.9961340455414579,0.0038659544585420377,0.2519352100735866,0.0640117060916142,130,49,81
GB023,-61.12788425040302,126.35100659604413,0.8030275602364325,0.1969724397635675,0.13617800850144576,0.5313054490924564,129,104,25
GB024a,-71.91299770667125,147.92355638895225,0.04848439305194812,0.9515156069480518,0.08861407502450215,0.21318034580818918,126,65,61
GB024b,-63.367445327078066,130.8324516297659,3.426424377485393e-5,0.9999657357562252,0.06655607473574461,0.12341356747376171,126,49,77
GB025a,-71.24897505489965,146.596310765537,0.9989934213576868,0.0010065786423133112,0.1416340729169414,0.17323057047951287,125,91,34
GB025b,-49.90791896024413,103.91419857622597,0.003217907819239779,0.9967820921807603,0.18234035925880557,0.07854334976228788,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.89823174317617,127.91767560756446,0.13409172785783324,0.8659082721421667,0.5167913632069483,0.20399949156970282,102,34,68
GB028,-9.891373689132433,23.87577063407882,1.5349652542159506e-5,0.9999846503474578,0.15533685072063133,0.010616724510067675,132,2,130
GB030,-21.740191822249987,47.57413364449997,0.9998467565882132,1.5324341178675607e-4,0.028118545095249404,0.3029812216740878,131,125,6
GB031,-63.36062936428443,130.81574691754523,0.00760164326195624,0.9923983567380438,0.09489240014020173,0.14018963347578597,130,42,88
GB035,-55.40081599026513,114.91172372364953,0.02789072604361336,0.9721092739563867,0.2532162339843619,0.14055319484623852,112,30,82
GB036,-27.801047242333947,59.713205595779,0.9339619195704026,0.06603808042959734,0.06973029208815228,0.7959360271719853,111,103,8
GB037,-34.80110419079978,73.71331949271067,0.9117204737437737,0.08827952625622619,0.22643303689275687,2.339291910330395,111,100,11
GB038,-20.74743127507944,45.59831082602095,0.9577426232001081,0.04225737679989193,1.1088662020572033,25.13190608506782,119,114,5
GB039,-41.039400431401994,86.18224913866605,0.8905942604964463,0.10940573950355367,1.462438677330139,11.90467244468407,119,106,13
GB041,-13.393635526969959,30.916303312004434,0.9673744111144401,0.03262558888555991,3.211308190846786,95.21781755186554,96,93,3
GB042,-14.224374191921756,32.54398647908161,0.9747244152420718,0.025275584757928227,0.06647100478570708,2.562444676783437,129,126,3
GB043,-10.393211983503667,24.882423967007334,0.982011657029229,0.017988342970770975,0.07297093933580498,3.983554769410202,128,126,2
