Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-79.62352639466425,163.3422908845666,0.9785321169053832,0.021467883094616794,0.34859417450576,0.18072919323921083,129,51,78
GB021,-64.66060746516747,133.42740962060043,0.9992546398434357,7.453601565643972e-4,0.145201605745569,0.24377518036585297,116,74,42
GB022,-67.2637385269949,138.62196524296618,0.9969731502257005,0.0030268497742994165,0.24831303481091402,0.06427843399519208,130,49,81
GB023,-61.63987447005606,127.37498703535022,0.7737684815268806,0.22623151847311937,0.1448927525510773,0.5723449625296821,129,104,25
GB024a,-72.0164182395305,148.13039745467074,0.10893014854318074,0.8910698514568192,0.08863309849852892,0.21619987358547518,126,65,61
GB024b,-62.880466406863135,129.85849378933602,4.573191602021803e-5,0.9999542680839798,0.06489893809202127,0.1249933616609527,126,49,77
GB025a,-71.33062572501665,146.759612105771,0.9994862004951406,5.137995048593097e-4,0.13742006744095864,0.14850660170063665,125,91,34
GB025b,-49.77215398487146,103.64266862548062,0.0014048524944109226,0.9985951475055891,0.160268411492136,0.07732580444691045,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.11917260354021,126.35955732829254,0.1479660685198609,0.8520339314801392,0.5302212075714959,0.20368754590767177,102,34,68
GB028,-9.925477117588777,23.943977490991507,1.0420821079234575e-5,0.9999895791789208,0.1896545047876664,0.011084025354466493,132,2,130
GB030,-21.607162573363187,47.308075146726374,0.9997897120374482,2.1028796255194204e-4,0.02869417505967781,0.31291869517799925,131,125,6
GB031,-63.27889053627309,130.65226926152255,0.014648901161057295,0.9853510988389428,0.09475889071576318,0.14223417786610165,130,42,88
GB035,-56.006230455127415,116.1225526533741,0.8601930264694663,0.13980697353053367,0.38420986497348864,0.09806054653704342,112,30,82
GB036,-27.902185654126523,59.91548241936415,0.9308382875035286,0.06916171249647146,0.0737692223293689,0.8371568074928244,111,103,8
GB037,-35.68424280550507,75.47959672212126,0.9088687947901901,0.09113120520980987,0.25624807706476677,2.556099228910201,111,100,11
GB038,-20.746744066034907,45.596936407931885,0.9577260100185387,0.042273989981461306,1.167104950503462,26.441004693636522,119,114,5
GB039,-41.196608049479366,86.4966643748208,0.8902078070042594,0.10979219299574071,0.31535790817685094,2.556586115171089,119,106,13
GB041,-13.393635834613482,30.91630392729148,0.9673757596714223,0.03262424032857773,1.9111079417120616,56.668277278118076,96,93,3
