Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-78.68368939596976,161.46261688717763,0.9735381354928165,0.02646186450718343,0.34258673443404597,0.18216395198048868,129,51,78
GB021,-64.62636858272079,133.35893185570706,0.9997859112322357,2.1408876776431046e-4,0.140641151207584,0.21585162697539934,116,74,42
GB022,-67.6610119589743,139.41651210692498,0.9941826202494292,0.005817379750570846,0.2468280525114686,0.06781571417010843,130,49,81
GB023,-61.14134428808687,126.37792667141184,0.7786603474599246,0.2213396525400754,0.13881104864740074,0.5508665121697336,129,104,25
GB024a,-72.5405867557419,149.17873448709355,0.06882830853405957,0.9311716914659404,0.08634325903792978,0.21751021502393422,126,65,61
GB024b,-62.93363391210248,129.9648287998147,6.172129270525196e-5,0.9999382787072947,0.07009150398926264,0.12184144544614843,126,49,77
GB025a,-71.46045684366261,147.01927434306293,0.9994826053628391,5.173946371609321e-4,0.1409957275821859,0.16321516802225777,125,91,34
GB025b,-49.8754421914482,103.84924503863411,0.0012075324456119522,0.9987924675543881,0.166358306513427,0.07744711259220904,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.74659530876811,127.61440273874834,0.12664488435519516,0.8733551156448047,0.5121941626121814,0.20182161344530558,102,34,68
GB028,-9.936050491862773,23.9651242395395,5.556017922829831e-6,0.9999944439820773,0.1791381364774792,0.010944158277500294,132,2,130
GB030,-21.926391025938354,47.94653205187671,0.9996953941435821,3.0460585641783867e-4,0.030231937114520487,0.37344986882540865,131,125,6
GB031,-63.5134020169431,131.12129222286256,0.013585121224916839,0.9864148787750832,0.1021163345649562,0.1420986241216476,130,42,88
GB035,-55.39251148930093,114.89511472172113,0.8897621016012038,0.11023789839879618,0.37909462336560096,0.09278316363856744,112,30,82
GB036,-27.661059200033886,59.43322951117888,0.9422972730553544,0.05770272694464568,0.06442439376009103,0.7537385424897899,111,103,8
GB037,-34.89593019928769,73.9029715096865,0.9127770790786389,0.08722292092136101,0.2760946101142275,2.8894241315980502,111,100,11
GB038,-20.7473815655209,45.59821140690387,0.9577375041956898,0.04226249580431021,1.2885699315321633,29.201109085501955,119,114,5
GB039,-41.19691378527483,86.49727584641172,0.8899412714297958,0.11005872857020409,0.2699613061575088,2.180784373237364,119,106,13
GB041,-13.39363553392319,30.916303325910896,0.9673756830254931,0.03262431697450684,2.1816083495121448,64.68901307121799,96,93,3
GB042,-14.1601639805555,32.41556605634909,0.9740594561607236,0.025940543839276395,0.04618456641079678,1.704154604524191,129,126,3
GB043,-10.385806878789149,24.867613757578297,0.9819471133235883,0.01805288667641164,0.0722819610496031,3.9315660958060055,128,126,2
GB044,-42.28638750389798,88.6703359834057,0.9999207873256016,7.921267439846291e-5,0.061040528287234545,0.18464011187530247,126,111,15
GB046,-41.285749141416204,86.7619744733086,0.6828878539251696,0.31711214607483035,0.8437250936013896,1.816920136304259,66,45,21
GB047,-62.05023830083308,128.21928848285427,0.28119902927019413,0.7188009707298059,3.2220219218151605,1.2604731868609695,104,30,74
GB048,-60.092377437921975,124.31518965845265,0.6821863337096862,0.31781366629031377,0.31076157123117726,0.6215071059385862,95,63,32
GB049,-69.08393199829487,142.28907611780187,0.38941962705728966,0.6105803729427104,0.5656856780582136,0.37592598964827145,102,41,61
GB051,-9.676240642808585,23.45165483933618,0.9999987028164681,1.2971835319223777e-6,0.010519913073653193,0.09700200825588821,124,122,2
GB052,-13.789148067651206,31.67829613530241,0.9916051183796966,0.008394881620303486,0.02670073667229607,0.7634316124879625,123,120,3
GB053,-31.363955788378817,66.82960649201188,0.9219886405489941,0.07801135945100592,0.09580443493211174,0.9962089889598132,121,112,9
GB054,-11.0308736543738,26.163442224001834,0.9999987325992107,1.2674007892641863e-6,0.010719793793501235,0.06299004480312688,121,118,3
GB057,-52.368197676595216,108.83809026844467,0.984953047583433,0.015046952416566907,0.06394020363851231,0.22055640839001928,121,81,40
GB058,-71.83871007058887,147.77998424374186,0.06575522848630685,0.9342447715136931,0.32711999197665426,0.2154811421056498,120,52,68
GB059,-14.178534997527425,32.45463097066461,0.025407144320177474,0.9745928556798226,4.348979362772183,0.11337580574198627,126,3,123
GB065a,-87.9868487113577,180.0674474227154,0.15548391858518568,0.8445160814148144,0.30375775932762367,0.31884422650052574,131,61,70
GB065b,-63.486226527699415,131.06620305539883,0.09094820575222873,0.9090517942477714,0.2400720836780233,0.083870620430968,131,22,109
GB068,-66.06788871754307,136.2458691782054,0.2767857059768036,0.7232142940231964,66.57907583797127,25.48087981859629,112,31,81
GB069,-68.80257678364842,141.72396544848496,0.6249932663016373,0.37500673369836274,47.29137058607814,78.81668651381665,104,65,39
GB070,-26.919639192315874,57.93845193835075,0.9435034541320914,0.05649654586790856,1.7755022280191142,29.651237243280974,124,117,7
GB071,-67.43295050867447,138.96507457106793,0.7660280739967148,0.2339719260032851,3.956204812231078,12.95268199231456,124,95,29
GB072,-52.91890347719402,109.9386472905225,0.7968595866887201,0.20314041331127985,0.13613637834852757,0.6857652357324711,122,103,19
