Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-78.78666835106326,161.6685747973646,0.9754791233754438,0.02452087662455616,0.33966422171248695,0.17032888930369933,129,51,78
GB021,-64.04519696218318,132.19658861463185,0.9998028679371969,1.9713206280308162e-4,0.13690540569672083,0.19559031315652672,116,74,42
GB022,-66.62136681704708,137.33722182307054,0.9929140549880273,0.007085945011972771,0.24006464418540033,0.06213842550672681,130,49,81
GB023,-60.93459875471322,125.96443560466454,0.7764053808920788,0.2235946191079212,0.1335517403004585,0.5318575607587648,129,104,25
GB024a,-73.2282835637312,150.55412810307214,0.03766838814329516,0.9623316118567049,0.09298990561932957,0.22061784007402963,126,65,61
GB024b,-63.830645978806416,131.75885293322258,4.7476156272224367e-4,0.9995252384372778,0.08109049854838474,0.11800408306320347,126,49,77
GB025a,-71.00637028668258,146.11110122910287,0.9996568090052169,3.431909947831805e-4,0.13988963687162323,0.164696053586359,125,91,34
GB025b,-49.57156517449447,103.24149100472664,8.969745411366491e-4,0.9991030254588634,0.16397877157008814,0.07435917792559807,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.773334243177324,127.66788060756677,0.09790869248920993,0.90209130751079,0.4797862045308196,0.1933235524271726,102,34,68
GB028,-9.959696991363932,24.01241723854182,2.201966307475846e-6,0.9999977980336925,0.17760457157349294,0.010738587963884895,132,2,130
GB030,-21.655400343084068,47.404550686168136,0.9999650143694858,3.498563051417505e-5,0.027798419532619825,0.2999226463502331,131,125,6
GB031,-63.2682332773912,130.63095474375876,0.001403223447820163,0.9985967765521798,0.09208063806239263,0.13795094730554813,130,42,88
GB035,-55.96396551111473,116.03802276534873,0.9419399533565972,0.05806004664340283,0.3738903071542066,0.08678657479834759,112,30,82
GB036,-27.530834008331244,59.172779127773595,0.9797059044784495,0.020294095521550447,0.05786428303374198,0.620969903413754,111,103,8
GB037,-34.462847078736665,73.03680526858444,0.9142551844646731,0.08574481553532688,0.21372242146573805,2.280269222562117,111,100,11
GB038,-20.74588817100341,45.595224617868894,0.9577176212869706,0.0422823787130294,0.7843452940127705,17.765824253829425,119,114,5
GB039,-41.04040944836988,86.18426717260182,0.8906628368234278,0.10933716317657208,1.7893442729503979,14.576036179263545,119,106,13
