Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-79.34643737718268,162.78811284960346,0.9616476051493554,0.03835239485064453,0.35905437449817884,0.19573905012039042,129,51,78
GB021,-64.56668054633018,133.23955578292583,0.9998802541149886,1.1974588501137263e-4,0.13892031440324487,0.2110854317960254,116,74,42
GB022,-68.11535128225044,140.32519075347727,0.99685033622623,0.003149663773769924,0.2673509549472113,0.06532275422827058,130,49,81
GB023,-61.131631970256244,126.35850203575058,0.7893880526920216,0.2106119473079784,0.14164224966963976,0.5573679825071481,129,104,25
GB024a,-73.98322620558477,152.0640133867793,0.08352962423884158,0.9164703757611583,0.09495433705135202,0.22494318475326378,126,65,61
GB024b,-64.68454726423764,133.46665550408503,7.52757985601258e-5,0.99992472420144,0.06723073574300167,0.12874999384497218,126,49,77
GB025a,-71.07363864603062,146.24563794779894,0.9995930624171014,4.0693758289863795e-4,0.13467654177726407,0.14626563683285343,125,91,34
GB025b,-50.051440501535545,104.2012416588088,0.0025240628238628045,0.9974759371761373,0.17938448315080865,0.07605712222769104,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.07261181977146,126.26643576075504,0.14825211157851367,0.8517478884214864,0.5368638051673184,0.2035126348725375,102,34,68
GB028,-9.972088375425532,24.037200006665017,5.596617000012477e-6,0.999994403383,0.21419497673641003,0.011244358337074638,132,2,130
GB030,-21.57413229578369,47.24201459156738,0.9999388178519432,6.118214805687236e-5,0.027839917420575167,0.2894984164065108,131,125,6
GB031,-63.62077998618788,131.33604816135212,0.005546451029619566,0.9944535489703804,0.08892623316724951,0.14026785319856636,130,42,88
GB035,-56.00642036387848,116.12293247087624,0.9204884591937595,0.07951154080624043,0.37309401024402483,0.09180126469517708,112,30,82
GB036,-27.77372259569268,59.658556302496464,0.9397412700562383,0.06025872994376171,0.06762219917906237,0.7656606415811651,111,103,8
GB037,-35.124927063417516,74.36096523794615,0.9118541285126064,0.0881458714873937,0.23221855190818902,2.403142828904534,111,100,11
GB038,-21.166444744965126,46.436337765792324,0.9563511167262599,0.043648883273740106,0.050258063808294326,1.1237099650333011,119,114,5
GB039,-41.04120945856735,86.18586719299677,0.8906653096193221,0.10933469038067785,1.5237249315627859,12.412610610775449,119,106,13
GB041,-13.39363552697,30.916303312004516,0.967374408223741,0.03262559177625889,2.729478529876525,80.93118113247864,96,93,3
GB042,-14.235801269904991,32.56684063504808,0.974821903321009,0.025178096678990985,0.0684008417841964,2.6474000412957697,129,126,3
GB043,-10.399796033218855,24.89559206643771,0.9820699005229464,0.01793009947705358,0.07387713037328154,4.046375668028692,128,126,2
GB044,-42.44978281307045,88.99712660175065,0.9996335901066955,3.664098933045157e-4,0.06528822383593624,0.2686713548282194,126,111,15
GB046,-41.282429771251586,86.75533573297936,0.6818134292651415,0.3181865707348584,9.829920920286481,21.063654812919598,66,45,21
GB047,-62.141650253825354,128.40211238883882,0.28236547539903445,0.7176345246009656,2.764868749539769,1.0878840627106228,104,30,74
GB048,-59.24863626649993,122.62770731560855,0.6962330416857464,0.30376695831425365,0.28064386110289197,0.548636549868879,95,63,32
GB049,-68.07577519295782,140.27276250712777,0.4177885852634448,0.5822114147365552,0.5284811164693929,0.35131868747075345,102,41,61
GB051,-9.673045336004824,23.445264225728657,0.999999354875926,6.451240741570365e-7,0.010464550024149987,0.09788373428823303,124,122,2
GB052,-13.697784458562314,31.49556891712463,0.9988626458093294,0.0011373541906706673,0.02147604499280234,0.49877456030250517,123,120,3
GB053,-31.415729316213227,66.93315354768069,0.921704897567249,0.07829510243275094,0.09739622200104597,1.0295928871335185,121,112,9
GB054,-10.95572256581682,26.013140046887877,0.9999996395525894,3.604474105798749e-7,0.010536361179925399,0.059776539435425026,121,118,3
GB057,-51.76942828954168,107.6405514943376,0.9857137277515932,0.01428627224840684,0.06339701744441534,0.2196999512510281,121,81,40
GB058,-71.8638009983753,147.83016609931468,0.07433592509823901,0.925664074901761,0.33697423885714073,0.2144144683251486,120,52,68
GB059,-14.189519507498957,32.47659999060767,0.02530440342559909,0.974695596574401,4.063400683434494,0.10549164515678396,126,3,123
GB065a,-87.7015724770837,179.4968949541674,0.07780430099918467,0.9221956990008153,0.26559327479769557,0.3021410437000335,131,61,70
GB065b,-59.29112227757455,122.6759945551491,0.16803269589187517,0.8319673041081248,40.39337719410886,8.15826299012995,131,22,109
GB068,-66.06788873388375,136.24586921088675,0.27677954677335986,0.7232204532266402,33.081469715260006,12.660419314104944,112,31,81
GB069,-68.80257689739825,141.72396567598463,0.625020572807398,0.37497942719260197,34.67838993974917,57.802390137652765,104,65,39
GB070,-26.91949695314516,57.938167460009325,0.9435021450860183,0.05649785491398173,1.3151016358223482,21.961917249666232,124,117,7
GB071,-67.43308892484897,138.96535140341695,0.7659407010974306,0.23405929890256946,3.198963645331338,10.468357671660877,124,95,29
GB072,-53.06965455758801,110.24014945131047,0.7954811841177919,0.20451881588220813,0.12575492237776256,0.6536181865055357,122,103,19
GB073,-70.48122665076517,145.06501740409442,0.7227657290175599,0.2772342709824401,1.6260187291414614,4.239124577382384,120,87,33
GB074,-18.62183418959033,41.339668379180665,0.09655853156416419,0.9034414684358358,0.22845526169988004,0.010399750823251442,128,9,119
