glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Absent	Absent	Absent	Absent	Half	Absent	Half		GB025a	Proto-Polynesian	1	0		258	0.25968992248062017	67	1	0		0.272	34	125	1	0	125	0.272	34		0.9771670986918516	0.0228329013081483	0.25968992248062017	67	258		0.4132179518913549	0.5867820481086451	0.272	34		125		125	34	0.272	0.9528533287211158	0.04714667127888417	258	67	0.5666666666666667	0.43333333333333335	0.25968992248062017		258	191	67	0.25968992248062017	
Present	Present	Present	Present	Present	Present	Present		GB025a	Proto-Eastern Polynesian	0	1		258	0.25968992248062017	67	0	1		0.272	34	125	0	1	125	0.272	34		1.1284228708728291e-6	0.9999988715771292	0.25968992248062017	67	258		0.2540456410729959	0.7459543589270041	0.272	34		125		125	34	0.272	0.10029502174426792	0.8997049782557321	258	67	0	1	0.25968992248062017		258	191	67	0.25968992248062017	
Present	Present	Present	Present	Present	Present	Present	Present	GB025b	Proto-Oceanic	0	1	True Positive	258	0.14728682170542637	38	0	1	True Positive	0.152	19	125	0	1	125	0.152	19	True Positive	0.00217390259593495	0.997826097404065	0.14728682170542637	38	258	True Positive	0.07604261355698046	0.9239573864430196	0.152	19	True Positive	125	True Positive	125	19	0.152	0.00561234719847234	0.9943876528015276	258	38	0.14728682170542637	0.8527131782945736	0.14728682170542637	True Positive	258	38	220	0.14728682170542637	
Present	Present	Present	Present	Present	Present	Present		GB025b	Proto-Central Pacific	0	1		258	0.14728682170542637	38	0	1		0.152	19	125	0	1	125	0.152	19		0.00731858585096885	0.9926814141490312	0.14728682170542637	38	258		0.02560590836239433	0.9743940916376056	0.152	19		125		125	19	0.152	0.00544540502543665	0.9945545949745632	258	38	0.18181818181818185	0.8181818181818182	0.14728682170542637		258	38	220	0.14728682170542637	
Present	Present	Present	Present	Present	Present	Present		GB025b	Proto-Polynesian	0	1		258	0.14728682170542637	38	0	1		0.152	19	125	0	1	125	0.152	19		0.03180170811667605	0.968198291883324	0.14728682170542637	38	258		0.02833695554683393	0.971663044453166	0.152	19		125		125	19	0.152	0.00348244379113744	0.9965175562088624	258	38	0.2	0.8	0.14728682170542637		258	38	220	0.14728682170542637	
Present	Present	Present	Half	Present	Present	Present		GB025b	Proto-Eastern Polynesian	0	1		258	0.14728682170542637	38	0	1		0.152	19	125	0	1	125	0.152	19		0.49410074947705696	0.505899250522943	0.14728682170542637	38	258		0.03509331883130894	0.964906681168691	0.152	19		125		125	19	0.152	0.00743589530988905	0.9925641046901108	258	38	0.375	0.625	0.14728682170542637		258	38	220	0.14728682170542637	
Absent	Present	Present	Absent	Half	Present	Half	Present	GB065a	Proto-Oceanic	1	0	False Negative	262	0.4122137404580153	108	0	1	True Positive	0.46564885496183206	61	131	0.225	0.775	131	0.46564885496183206	61	True Positive	0.996030822531711	0.00396917746828898	0.4122137404580153	108	262	False Negative	0.46258140878414394	0.537418591215856	0.46564885496183206	61	Half	131	True Positive	131	61	0.46564885496183206	0.14274787097941186	0.8572521290205881	262	108	0.4122137404580153	0.5877862595419847	0.4122137404580153	Half	262	108	154	0.4122137404580153	
Present	Present	Present	Present	Half	Present	Present		GB065a	Proto-Central Pacific	0	1		262	0.4122137404580153	108	0	1		0.46564885496183206	61	131	0.3190952380952381	0.6809047619047619	131	0.46564885496183206	61		0.34584899477985476	0.6541510052201452	0.4122137404580153	108	262		0.46258140878414394	0.537418591215856	0.46564885496183206	61		131		131	61	0.46564885496183206	0.19152577710743343	0.8084742228925665	262	108	0.3235294117647059	0.6764705882352942	0.4122137404580153		262	108	154	0.4122137404580153	
Present	Present	Present	Present	Half	Present	Present		GB065a	Proto-Polynesian	0	1		262	0.4122137404580153	108	0	1		0.46564885496183206	61	131	0.2029090354090354	0.7970909645909646	131	0.46564885496183206	61		0.35921292098025315	0.6407870790197469	0.4122137404580153	108	262		0.46258140878414394	0.537418591215856	0.46564885496183206	61		131		131	61	0.46564885496183206	0.090435996866434	0.909564003133566	262	108	0.3225806451612903	0.6774193548387096	0.4122137404580153		262	108	154	0.4122137404580153	
Present	Present	Present	Present	Half	Present	Present		GB065a	Proto-Eastern Polynesian	0	1		262	0.4122137404580153	108	0	1		0.46564885496183206	61	131	0	1	131	0.46564885496183206	61		0.01561787939606679	0.9843821206039332	0.4122137404580153	108	262		0.4625814087841438	0.5374185912158562	0.46564885496183206	61		131		131	61	0.46564885496183206	0.01270957281003261	0.9872904271899674	262	108	0.3333333333333333	0.6666666666666666	0.4122137404580153		262	108	154	0.4122137404580153	
Present	Present	Present	Present	Present	Present	Present	Present	GB065b	Proto-Oceanic	0	1	True Positive	262	0.23282442748091603	61	0	1	True Positive	0.16793893129770993	22	131	0.025	0.975	131	0.16793893129770993	22	True Positive	3.4369628065077393e-6	0.9999965630371934	0.23282442748091603	61	262	True Positive	0.17842864404571898	0.8215713559542811	0.16793893129770993	22	True Positive	131	True Positive	131	22	0.16793893129770993	0.10852497942007808	0.8914750205799219	262	61	0.23282442748091603	0.767175572519084	0.23282442748091603	True Positive	262	61	201	0.23282442748091603	
Present	Present	Present	Present	Present	Present	Present		GB065b	Proto-Central Pacific	0	1		262	0.23282442748091603	61	0	1		0.16793893129770993	22	131	0	1	131	0.16793893129770993	22		5.778099671351374e-4	0.9994221900328648	0.23282442748091603	61	262		0.17842864404571884	0.8215713559542811	0.16793893129770993	22		131		131	22	0.16793893129770993	0.06309800197166636	0.9369019980283336	262	61	0.17647058823529413	0.8235294117647058	0.23282442748091603		262	61	201	0.23282442748091603	
Present	Present	Present	Present	Present	Present	Present		GB065b	Proto-Polynesian	0	1		262	0.23282442748091603	61	0	1		0.16793893129770993	22	131	0	1	131	0.16793893129770993	22		0.00343011097040542	0.9965698890295944	0.23282442748091603	61	262		0.1784286440457189	0.821571355954281	0.16793893129770993	22		131		131	22	0.16793893129770993	0.05756680856110773	0.9424331914388924	262	61	0.1935483870967742	0.8064516129032258	0.23282442748091603		262	61	201	0.23282442748091603	
Present	Present	Present	Present	Present	Present	Present		GB065b	Proto-Eastern Polynesian	0	1		262	0.23282442748091603	61	0	1		0.16793893129770993	22	131	0	1	131	0.16793893129770993	22		0.00854745263114904	0.991452547368851	0.23282442748091603	61	262		0.17842864404571898	0.821571355954281	0.16793893129770993	22		131		131	22	0.16793893129770993	0.05653372084642798	0.943466279153572	262	61	0.1111111111111111	0.8888888888888888	0.23282442748091603		262	61	201	0.23282442748091603	
Half	Half	Present	Absent	Half	Half	Absent	Absent	GB130a	Proto-Central Pacific	0.5	0.5	Half	259	0.2084942084942085	54	0.5	0.5	Half	0.25396825396825395	32	126	0.395	0.605	126	0.25396825396825395	32	False Positive	0.7473779089345775	0.25262209106542244	0.2084942084942085	54	259	True Negative	0.5156455089650587	0.4843544910349414	0.25396825396825395	32	Half	126	Half	126	32	0.25396825396825395	0.4405098658598094	0.5594901341401907	261	56	0.6666666666666666	0.3333333333333333	0.21455938697318008	True Negative	259	54	205	0.2084942084942085	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB130a	Proto-Polynesian	1	0	True Negative	259	0.2084942084942085	54	1	0	True Negative	0.25396825396825395	32	126	0.7175	0.2825	126	0.25396825396825395	32	True Negative	0.9973773977975672	0.00262260220243269	0.2084942084942085	54	259	True Negative	0.9852949600418164	0.01470503995818353	0.25396825396825395	32	True Negative	126	True Negative	126	32	0.25396825396825395	0.9219729095297392	0.07802709047026093	261	56	0.6551724137931034	0.3448275862068966	0.21455938697318008	True Negative	259	54	205	0.2084942084942085	
Present	Present	Present	Present	Present	Present	Present		GB130a	Proto-Oceanic	0	1		259	0.2084942084942085	54	0	1		0.25396825396825395	32	126	0	1	126	0.25396825396825395	32		0.06081872629782072	0.9391812737021792	0.2084942084942085	54	259		0.07012176234317423	0.929878237656826	0.25396825396825395	32		126		126	32	0.25396825396825395	0.00180243401765	0.99819756598235	261	56	0.21455938697318008	0.7854406130268199	0.21455938697318008		259	54	205	0.2084942084942085	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB130a	Proto-Eastern Polynesian	1	0		259	0.2084942084942085	54	1	0		0.25396825396825395	32	126	1	0	126	0.25396825396825395	32		0.9999999972974492	2.7025507948053903e-9	0.2084942084942085	54	259		0.9996840194982216	3.159805017783016e-4	0.25396825396825395	32		126		126	32	0.25396825396825395	0.9998987302067772	1.0126979322293542e-4	261	56	1	0	0.21455938697318008		259	54	205	0.2084942084942085	
