Feature_ID	Proto-language	value	tree_type	variable	method	conflict
GB037	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB037	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB037	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB037	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB038	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB038	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB038	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB038	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB039	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB039	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB039	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB039	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB041	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB041	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB041	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB041	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB042	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB042	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB042	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB042	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB043	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB043	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB043	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB043	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB044	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB044	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB044	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB044	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB047	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB047	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB047	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB047	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB048	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB048	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB048	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB048	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB049	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB049	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB049	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB049	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB051	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB051	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB051	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB051	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB052	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB052	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB052	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB052	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB053	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB053	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB053	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB053	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB054	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB054	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB054	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB054	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB057	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB057	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB057	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB057	Proto-Eastern Polynesian	Half	glottolog	prediction	parsimony	
GB058	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB058	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB058	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB058	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB059	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB059	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB059	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB059	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB068	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB068	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB068	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB068	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB069	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB069	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB069	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB069	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB070	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB070	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB070	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB070	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB071	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB071	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB071	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB071	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB072	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB072	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB072	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB072	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB073	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB073	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB073	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB073	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB074	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB074	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB074	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB074	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB075	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB075	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB075	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB075	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB079	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB079	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB079	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB079	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB080	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB080	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB080	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB080	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB081	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB081	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB081	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB081	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB082	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB082	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB082	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB082	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB083	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB083	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB083	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB083	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB084	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB084	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB084	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB084	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB086	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB086	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB086	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB086	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB089	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB089	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB089	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB089	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB090	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB090	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB090	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB090	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB091	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB091	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB091	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB091	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB092	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB092	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB092	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB092	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB093	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB093	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB093	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB093	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB094	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB094	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB094	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB094	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
