Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-79.00081468563432,162.09686746650675,0.9828118006185689,0.01718819938143113,0.34047705639336934,0.16892637150046017,129,51,78
GB021,-64.48208119042103,133.07035707110754,0.9998822513659855,1.1774863401444428e-4,0.13675343768320117,0.2028400369894674,116,74,42
GB022,-68.02207088743822,140.13862996385282,0.9953425923954892,0.0046574076045108265,0.2588749575897789,0.06434149886203744,130,49,81
GB023,-61.78982256765039,127.67488323053888,0.7874160400734943,0.21258395992650567,0.14450343902418053,0.5658869395781488,129,104,25
GB024a,-73.60444382953905,151.30644863468785,0.08436933329305964,0.9156306667069403,0.09568216634849412,0.22365091898497932,126,65,61
GB024b,-64.00007739645577,132.09771576852128,9.903049742171461e-5,0.9999009695025782,0.0682501267997489,0.12182672170201776,126,49,77
GB025a,-71.20573914322543,146.50983894218857,0.999639044184311,3.609558156889829e-4,0.13660821886187563,0.15348705712785077,125,91,34
GB025b,-49.2307778046838,102.5599162651053,6.866226779104966e-4,0.9993133773220896,0.14508975144278075,0.07407962322215109,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.373558915176936,126.868329951566,0.10782570935045656,0.8921742906495435,0.4855536588305098,0.19377451107862395,102,34,68
GB028,-10.032699378055394,24.158422011924742,5.306654887685629e-6,0.9999946933451123,0.24091901194265056,0.01141609545349898,132,2,130
GB030,-21.775061087354906,47.64387217470981,0.9999077443937237,9.225560627633606e-5,0.02897947831280452,0.3437794088557902,131,125,6
GB031,-63.81385540713987,131.72219900325612,0.0025269859566057324,0.9974730140433942,0.094886322120543,0.13886719863283126,130,42,88
GB035,-55.71870156400895,115.54749487113718,0.919667234457504,0.08033276554249602,0.37115776039523196,0.0926957446303554,112,30,82
GB036,-27.336318698869487,58.78374850885008,0.9994487964078924,5.512035921075761e-4,0.04578472688883302,0.4233993123549807,111,103,8
GB037,-35.77815291979649,75.6674169507041,0.9090400717199961,0.0909599282800039,0.25254951654494057,2.524478553841708,111,100,11
GB038,-20.747531678024206,45.59851163191048,0.9577407914884702,0.04225920851152971,1.456111199755564,33.00054927835754,119,114,5
GB039,-41.22842197974639,86.56029223535485,0.8901401022587592,0.10985989774124086,0.26321464205177936,2.1304290200835743,119,106,13
GB041,-13.393635526971902,30.91630331200832,0.9673744093325586,0.032625590667441466,3.3508132249180207,99.35424609717894,96,93,3
GB042,-14.226725982479662,32.548690060197416,0.9748196975170783,0.02518030248292158,0.07040595610419767,2.7249461804904795,129,126,3
GB043,-10.392536274953933,24.881072549907866,0.9820145744516423,0.01798542554835757,0.07339748469139408,4.00750602619711,128,126,2
GB044,-42.583410872827145,89.26438272126404,0.9998774253808816,1.2257461911837822e-4,0.06369254406935235,0.2511710360006265,126,111,15
GB046,-41.282429741894546,86.75533567426528,0.6818181716365623,0.3181818283634377,23.118620227065282,49.5398981615413,66,45,21
GB047,-61.528649580504336,127.1761110421968,0.2790509492837797,0.7209490507162203,2.250595109504723,0.8711156997111921,104,30,74
GB048,-60.18219695009777,124.49482868280424,0.695984556695217,0.30401544330478314,0.28105193927147176,0.5581207933483538,95,63,32
GB049,-68.9457599650609,142.01273205133393,0.39476550422858203,0.605234495771418,0.5984109495197092,0.39310853903650306,102,41,61
GB051,-9.782714447613177,23.664602448945363,0.9999991691131638,8.308868361809604e-7,0.01082547320811661,0.13521701572949324,124,122,2
GB052,-13.734990842351348,31.569981684702697,0.9967425869404499,0.0032574130595500817,0.023560128526348322,0.6209166060237442,123,120,3
GB053,-31.35338853557687,66.80847198640798,0.9229218321721343,0.07707816782786572,0.09541128405611285,1.0066409159179774,121,112,9
GB054,-11.432184285966466,26.96606348718717,0.9999994995975457,5.00402454288341e-7,0.011147171816725027,0.09246897685089667,121,118,3
GB057,-51.608270903073596,107.31823672140143,0.9945662826164324,0.005433717383567485,0.06226963627586725,0.21300788519714198,121,81,40
GB058,-71.88962057665074,147.88180525586557,0.037697627476982694,0.9623023725230173,0.30835840218357263,0.20809612148411988,120,52,68
GB059,-14.176620738782962,32.45080245317568,0.025410050973978054,0.974589949026022,3.9351749793354176,0.10260059128009234,126,3,123
GB065a,-87.93006937757225,179.9538887551445,0.06861716096206906,0.931382839037931,0.2569059233553761,0.29506223582512325,131,61,70
GB065b,-59.29099620578012,122.67574241156024,0.16793882448203482,0.8320611755179651,99.93706120496174,20.170767576678106,131,22,109
GB068,-66.06788871754294,136.24586917820514,0.27678570094548555,0.7232142990545145,76.72228648284643,29.362848425504218,112,31,81
GB069,-68.80257679557393,141.72396547233598,0.6250045809565449,0.3749954190434551,40.58521432818159,67.6433459878539,104,65,39
GB070,-26.91986395505441,57.938901463827825,0.9435090768201867,0.056490923179813274,2.328822308050777,38.89589445995148,124,117,7
GB071,-67.44123119289453,138.98163593950807,0.766094132395982,0.23390586760401794,4.8794202656167665,15.981194799744472,124,95,29
GB072,-52.80456494908436,109.70997023430317,0.8028790974434714,0.19712090255652864,0.12221846367261167,0.6383929491554604,122,103,19
GB073,-70.56300252665875,145.2285691558816,0.7245416235691509,0.2754583764308491,3.9498832368427426,10.389427435143018,120,87,33
GB074,-18.47409218593071,41.04418437186142,0.014508178671535818,0.9854918213284641,0.1662646738427789,0.012664534414200592,128,9,119
GB075,-33.41926830698292,70.9393769501003,0.9584243791412362,0.041575620858763866,0.02726397301439549,0.16313237784323095,122,107,15
GB079,-40.11627698568971,84.32630397137942,0.0916032801212204,0.9083967198787796,99.94543074224863,10.078558287110466,131,12,119
GB080,-59.60099661393883,123.29648141685405,0.19315347445822845,0.8068465255417716,0.6024572377600078,0.09992134315961941,130,26,104
GB081,-24.141014379288922,52.3828690947123,0.9999995564797218,4.4352027822601655e-7,0.028436232362604154,0.037536084748140616,122,112,10
GB082,-32.450995718000804,68.9972295312397,0.9471777171140363,0.05282228288596375,0.08076580270898735,1.0353626001459961,129,119,10
GB083,-51.979939592728236,108.05587918545648,0.8593664532237653,0.1406335467762347,4.357993398465446,26.630298501756243,128,110,18
GB084,-54.860016934091796,113.8160338681836,0.9903118018914701,0.009688198108529932,0.1012185981148087,0.3614729218719486,128,107,21
GB086,-76.14653142133908,156.39475775793238,0.6607231489276894,0.3392768510723106,0.2970496979799986,0.5264840495017863,121,81,40
GB089,-37.627596486685064,79.35043106860823,0.9999969815254568,3.018474543260807e-6,0.05432237580408542,0.10351221604753867,129,116,13
GB090,-70.14104344934162,144.37732499392135,0.05647118660889526,0.9435288133911047,0.0918356193176706,0.16986657452403478,129,78,51
GB091,-30.156685130366863,64.41093123634349,0.999998101322372,1.8986776279768727e-6,0.03862888718907925,0.09631615270474744,126,116,10
GB092,-68.97170401852901,142.04176869279573,0.023536413547223432,0.9764635864527765,0.08153027404886358,0.19090437292587573,125,79,46
GB093,-64.7100405008269,133.51608100165382,6.321845174299229e-5,0.999936781548257,0.15812081165838462,0.13586447367428636,128,52,76
