pol_complex_code_Hedvig,me_stripped,Smallest_Island_group_main,reference if not same as Sheehan,glottocode,_prop,Sheehan_2018_code,EA033_code,EA032_code,same,Glottocode_spec,Language_level_ID,level,Family_me
1,Lehalurup,Ureparapara,Bonnemaison (1996:200),leha1244,,,,,,leha1244,leha1244,language,Austronesian
,Amba Solomon Islands,Utupua,Not applicable,amba1266,,,,,,amba1266,amba1266,language,Austronesian
,Asumboa,Utupua,Not applicable,asum1237,,,,,,asum1237,asum1237,language,Austronesian
,Tanimbili,Utupua,Not applicable,tani1255,,,,,,tani1255,tani1255,language,Austronesian
2,East Uvean,Uvea (Wallis),Not applicable,wall1257,0.0307692308,2,3,,different,wall1257,wall1257,language,Austronesian
,Tanema,Vanikoro,Not applicable,tane1237,,,,,,tane1237,tane1237,language,Austronesian
,Lovono,Vanikoro,Not applicable,vano1237,,,,,,vano1237,vano1237,language,Austronesian
1,Lemerig,Vanua Lava,Bonnemaison (1996:200),leme1238,,,,,,leme1238,leme1238,language,Austronesian
1,Vera?a,Vanua Lava,Bonnemaison (1996:200),vera1241,,,,,,vera1241,vera1241,language,Austronesian
1,Vures,Vanua Lava,Bonnemaison (1996:200),vure1239,,,,,,vure1239,vure1239,language,Austronesian
,Vao,Vao,Not applicable,vaoo1237,,,,,,vaoo1237,vaoo1237,language,Austronesian
,mosiitasiriSerua,Viti Levu,Not applicable,mo1248,,,,,,mo1248,mo1248,language,Austronesian
3,Fijian,Viti Levu,Not applicable,fiji1243,0.041025641,3,,,,nort2843,fiji1243,language,Austronesian
3,Fijian,Viti Levu,Not applicable,fiji1243,0.041025641,3,,,,sout2864,fiji1243,language,Austronesian
,Western Fijian,"Viti Levu, Yasawa (greater), Vatulele",Not applicable,west2519,,,,,,west2519,west2519,language,Austronesian
2,Woleaian,"Wolei, Satawal (Woleai speaking)",Not applicable,wole1240,0.2564102564,2,,,,wole1240,wole1240,language,Austronesian
2,Yapese,Yap,Not applicable,yape1248,0.1282051282,,2,,,yape1248,yape1248,language,Austronesian
