pol_complex_code_Hedvig,me_stripped,Smallest_Island_group_main,reference if not same as Sheehan,glottocode,_prop,Sheehan_2018_code,EA033_code,EA032_code,same,Glottocode_spec,Language_level_ID,level,Family_me
,Pije,Kanaky (New Caledonia main island),Not applicable,pije1237,,,,,,pije1237,pije1237,language,Austronesian
,Pwaamei,Kanaky (New Caledonia main island),Not applicable,pwaa1237,,,,,,pwaa1237,pwaa1237,language,Austronesian
,Pwapwa,Kanaky (New Caledonia main island),Not applicable,pwap1237,,,,,,pwap1237,pwap1237,language,Austronesian
,TiriMea,Kanaky (New Caledonia main island),Not applicable,tiri1258,,,,,,tiri1258,tiri1258,language,Austronesian
,Vamale,Kanaky (New Caledonia main island),Not applicable,vama1243,,,,,,vama1243,vama1243,language,Austronesian
,Waamwang,Kanaky (New Caledonia main island),Not applicable,waam1236,,,,,,waam1236,waam1236,language,Austronesian
,Xaragure,Kanaky (New Caledonia main island),Not applicable,xara1243,,,,,,xara1243,xara1243,language,Austronesian
3,Xaracuu,Kanaky (New Caledonia main island),Not applicable,xara1244,0.0307692308,3,,,,xara1244,xara1244,language,Austronesian
,Yuaga,Kanaky (New Caledonia main island),Not applicable,yuag1237,,,,,,yuag1237,yuag1237,language,Austronesian
,Zire,Kanaky (New Caledonia main island),Not applicable,zire1240,,,,,,zire1240,zire1240,language,Austronesian
1,Kapingamarangi,Kapingamarangi,Not applicable,kapi1249,0.6307692308,1,2,,different,kapi1249,kapi1249,language,Austronesian
3,Kosraean,Kosrae,Not applicable,kosr1238,0.0358974359,3,3,,same,kosr1238,kosr1238,language,Austronesian
3,Lauan,Lau,,laua1243,,,3,,,laua1243,laua1243,language,Austronesian
2,Dehu,Lifou,Not applicable,dehu1237,0.2307692308,,2,,,dehu1237,dehu1237,language,Austronesian
,Lomaiviti,"Lomaviti, Leveuka (Lomaviti)",Not applicable,loma1261,,,,,,loma1261,loma1261,language,Austronesian
1,Aiwoo,Lomlom,"Comment from Oliver: “The difference between 1 and 0 is whether or not centralized political authority exists at the local level. A society would be coded '1' if it consisted of autonomous local communities which each had a system of authority, e.g. a village council. If local communities were associations of households (or other sub-local groups, such as village wards) with no overarching system of authority, the society would be coded '0'.The EA does not make this distinction, since it focuses exclusively on levels of authority beyond the local community. I would recommend using the EA variable, since from a linguistic diversity perspective I don't imagine this distinction would matter. “",ayiw1239,0.1179487179,0,,,,ayiw1239,ayiw1239,language,Austronesian
1,Luangiua,Luangiua,Not applicable,onto1237,0.2,1,1,,same,onto1237,onto1237,language,Austronesian
1,Baetora,Maewo,Bonnemaison (1996:200),baet1237,,,,,,baet1237,baet1237,language,Austronesian
1,Central Maewo,Maewo,Bonnemaison (1996:200),cent2058,,,,,,cent2058,cent2058,language,Austronesian
1,Sunwadia,Maewo,Bonnemaison (1996:200),mari1426,,,,,,mari1426,mari1426,language,Austronesian
,Mafea,Mafea,Not applicable,mafe1237,,,,,,mafe1237,mafe1237,language,Austronesian
1,Aulua,Malakula,Bonnemaison (1996:200),aulu1238,,,,,,aulu1238,aulu1238,language,Austronesian
1,Avok,Malakula,Bonnemaison (1996:200),avok1244,,,,,,avok1244,avok1244,language,Austronesian
1,Axamb,Malakula,Bonnemaison (1996:200),axam1237,,,,,,axam1237,axam1237,language,Austronesian
1,Big mbas,Malakula,Bonnemaison (1996:200),bign1238,,,,,,bign1238,bign1238,language,Austronesian
1,Burmbar,Malakula,Bonnemaison (1996:200),burm1263,,,,,,burm1263,burm1263,language,Austronesian
1,Bwenelang,Malakula,Bonnemaison (1996:200),bwen1239,,,,,,bwen1239,bwen1239,language,Austronesian
1,Dixon Reef,Malakula,Bonnemaison (1996:200),dixo1238,,,,,,dixo1238,dixo1238,language,Austronesian
1,Avava,Malakula,Bonnemaison (1996:200),katb1237,,,,,,katb1237,katb1237,language,Austronesian
1,Ninde,Malakula,Bonnemaison (1996:200),labo1244,,,,,,labo1244,labo1244,language,Austronesian
1,Larevat,Malakula,Bonnemaison (1996:200),lare1249,,,,,,lare1249,lare1249,language,Austronesian
1,LetemboiRepanbitip,Malakula,Bonnemaison (1996:200),lete1241,,,,,,lete1241,lete1241,language,Austronesian
1,Neverver,Malakula,Bonnemaison (1996:200),ling1265,,,,,,ling1265,ling1265,language,Austronesian
1,man,Malakula,Bonnemaison (1996:200),litz1237,,,,,,litz1237,litz1237,language,Austronesian
1,Tirax,Malakula,Bonnemaison (1996:200),maee1241,,,,,,maee1241,maee1241,language,Austronesian
1,?ahai,Malakula,Bonnemaison (1996:200),malf1237,,,,,,malf1237,malf1237,language,Austronesian
1,Malua Bay,Malakula,Bonnemaison (1996:200),malu1245,,,,,,malu1245,malu1245,language,Austronesian
1,Maragus,Malakula,Bonnemaison (1996:200),mara1399,,,,,,mara1399,mara1399,language,Austronesian
1,Maskelynes,Malakula,Bonnemaison (1996:200),mask1242,,,,,,mask1242,mask1242,language,Austronesian
1,Mpotovoro,Malakula,Bonnemaison (1996:200),mpot1241,,,,,,mpot1241,mpot1241,language,Austronesian
1,sarian,Malakula,Bonnemaison (1996:200),sa1240,,,,,,sa1240,sa1240,language,Austronesian
1,svang,Malakula,Bonnemaison (1996:200),sv1234,,,,,,sv1234,sv1234,language,Austronesian
1,ti,Malakula,Bonnemaison (1996:200),ti1244,,,,,,ti1244,ti1244,language,Austronesian
1,vwien,Malakula,Bonnemaison (1996:200),vw1234,,,,,,vw1234,vw1234,language,Austronesian
1,Nese,Malakula,Bonnemaison (1996:200),nese1235,,,,,,nese1235,nese1235,language,Austronesian
1,Nisvai,Malakula,Bonnemaison (1996:200),nisv1234,,,,,,nisv1234,nisv1234,language,Austronesian
1,Nitita,Malakula,Bonnemaison (1996:200),niti1249,,,,,,niti1249,niti1249,language,Austronesian
1,Port Sandwich,Malakula,Bonnemaison (1996:200),port1285,,,,,,port1285,port1285,language,Austronesian
1,Rerep,Malakula,Bonnemaison (1996:200),rere1240,,,,,,rere1240,rere1240,language,Austronesian
1,Unua,Malakula,Bonnemaison (1996:200),unua1237,,,,,,unua1237,unua1237,language,Austronesian
1,UripivWalaRanoAtchin,Malakula,Bonnemaison (1996:200),urip1239,,,,,,urip1239,urip1239,language,Austronesian
1,Neve?ei,Malakula,Bonnemaison (1996:200),vinm1237,,,,,,vinm1237,vinm1237,language,Austronesian
1,Vivti,Malakula,Bonnemaison (1996:200),vivt1234,,,,,,vivt1234,vivt1234,language,Austronesian
1,havaq,Malakula,"Comment from Oliver: “The difference between 1 and 0 is whether or not centralized political authority exists at the local level. A society would be coded '1' if it consisted of autonomous local communities which each had a system of authority, e.g. a village council. If local communities were associations of households (or other sub-local groups, such as village wards) with no overarching system of authority, the society would be coded '0'.The EA does not make this distinction, since it focuses exclusively on levels of authority beyond the local community. I would recommend using the EA variable, since from a linguistic diversity perspective I don't imagine this distinction would matter. “",sout2857,,0,1,,same,sout2857,sout2857,language,Austronesian
