Language_ID	aes	category	classification	level	med	subclassification	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID
andr1248	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/admi1239/east2459/manu1262/east2460	language	Wordlist or less	andr1248:1	Andra-Hus	Papunesia	-2.05894	147.085	andr1248	anx	PG	aust1307	andr1248
anei1239	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/sout2868	language	grammar	anei1239:1	Aneityum	Papunesia	-20.1864	169.825	anei1239	aty	VU	aust1307	anei1239
anuk1239	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848	language	Wordlist or less	anuk1239:1	Anuki	Papunesia	-9.6692	149.822	anuk1239	aui	PG	aust1307	anuk1239
anus1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/sarm1241/sarm1242/anus1238	language	Wordlist or less	anus1237:1	Anus	Papunesia	-2.2627100000000002	139.502	anus1237	auq	ID	aust1307	anus1237
anut1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485	language	grammar sketch	anut1237:1	Anuta	Papunesia	-11.61	169.85	anut1237	aud	SB	aust1307	anut1237
aore1237	extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339	language	Wordlist or less	aore1237:1	Aore	Papunesia	-15.5753	167.166	aore1237	aor	VU	aust1307	aore1237
apal1255	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/west2530	language	Wordlist or less	apal1255:1	Apalik	Papunesia	-6.29002	149.96	apal1255	apo	PG	aust1307	apal1255
apma1240	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/sout3188	language	grammar	(suru1260:1,suru1259:1)apma1240:1	Apma	Papunesia	-15.8559	168.189	apma1240	app	VU	aust1307	apma1240
arak1252	nearly extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/arak1257	language	long grammar	arak1252:1	Araki	Papunesia	-15.632997	166.952542	arak1252	akr	VU	aust1307	arak1252
area1240	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198	language	grammar	(mara1398:1,nucl1476:1)area1240:1	'Are'are	Papunesia	-9.20699	161.158	area1240	alu	SB	aust1307	area1240
aree1239	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235/ared1234	language	grammar sketch	aree1239:1	Are	Papunesia	-9.67147	149.999	aree1239	mwc	PG	aust1307	aree1239
arha1237	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/houa1234	language	phonology/text	arha1237:1	Arhâ	Papunesia	-21.2866	165.273	arha1237	aqr	NC	aust1307	arha1237
arho1237	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/houa1234	language	phonology/text	arho1237:1	Arhö	Papunesia	-21.3183	165.161	arho1237	aok	NC	aust1307	arho1237
arib1240	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	language	phonology/text	arib1240:1	Aribwaung	Papunesia	-6.65252	146.919	arib1240	ylu	PG	aust1307	arib1240
arib1241	extinct	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245	language	grammar sketch	arib1241:1	Aribwatsa	Papunesia	-6.72266	146.991	arib1241	laz	PG	aust1307	arib1241
arif1239	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235	language	grammar sketch	(arif1240:1,mini1252:1)arif1239:1	Arifama-Miniafia	Papunesia	-9.15565	149.246	arif1239	aai	PG	aust1307	arif1239
arop1242	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/scho1242/siau1243/siss1244/sera1271/siss1245	language	grammar sketch	arop1242:1	Arop-Sissano	Papunesia	-3.06984	142.12	arop1242	aps	PG	aust1307	arop1242
arop1243	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/kora1297	language	grammar sketch	(arop1244:1,loke1237:1)arop1243:1	Arop-Lokep	Papunesia	-5.31671	147.103	arop1243	apr	PG	aust1307	arop1243
aros1241	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/sanc1243	language	grammar sketch	(nucl1473:1,wang1296:1)aros1241:1	Arosi	Papunesia	-10.2441	161.432	aros1241	aia	SB	aust1307	aros1241
asum1237	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/temo1244/utup1237/utup1238	language	Wordlist or less	asum1237:1	Asumboa	Papunesia	-11.2969	166.499	asum1237	aua	SB	aust1307	asum1237
auhe1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/suau1243	language	Wordlist or less	auhe1237:1	'Auhelawa	Papunesia	-10.0959	151.002	auhe1237	kud	PG	aust1307	auhe1237
aulu1238	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315	language	phonology/text	(boin1237:1,ones1240:1)aulu1238:1	Aulua	Papunesia	-16.3579	167.697	aulu1238	aul	VU	aust1307	aulu1238
aust1304	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/cent2062/tahi1244	language	Wordlist or less	(raiv1237:1,rima1237:1,ruru1237:1,tubu1240:1)aust1304:1	Austral	Papunesia	-23.3843	-149.462	aust1304	aut	PF	aust1307	aust1304
avau1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/east2763	language	Wordlist or less	(gasm1237:1)avau1237:1	Avau	Papunesia	-6.24342	150.427	avau1237	avb	PG	aust1307	avau1237
avok1244	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315/sout3239/port1295	language	Wordlist or less	avok1244:1	Avok	Papunesia	-16.536653	167.773866	avok1244	NA	VU	aust1307	avok1244
awad1244	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/astr1247	language	grammar	(bili1252:1,gale1258:1,suit1237:1,yama1259:1,yori1237:1)awad1244:1	Awad Bing	Papunesia	-5.59896	146.355	awad1244	bcu	PG	aust1307	awad1244
axam1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315/sout3239/port1295	language	Wordlist or less	axam1237:1	Axamb	Papunesia	-16.4838	167.707	axam1237	ahb	VU	aust1307	axam1237
ayiw1239	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/temo1244/reef1242	language	grammar sketch	ayiw1239:1	Äiwoo	Papunesia	-10.282595	166.328715	ayiw1239	nfl	SB	aust1307	ayiw1239
baba1268	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/choi1242/east2760/sout3208	language	grammar sketch	(avas1237:1,kata1267:1,kubo1243:1,loma1262:1,nucl1494:1,seng1280:1)baba1268:1	Babatana	Papunesia	-7.22281	157.149	baba1268	baa	SB	aust1307	baba1268
baeg1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/nort3284	language	Wordlist or less	baeg1237:1	Baeggu	Papunesia	-8.49014	160.771	baeg1237	bvd	SB	aust1307	baeg1237
