taxon,glottocode,xd_ids,soc_ids,ABVD_ID
Luangiua,onto1237,xd884,Ii5,238
LungaLungaMinigir,mini1251,,,386
LwepeSantaCruz,natu1246,,,505
Maanyan,maan1238,,,215
Madara,mand1440,,,372
Madurese,nucl1460,,,75
MagoriSouthEastPapua,mago1248,,,164
Makassar,maka1311,xd759,Ic1,166
MalayBahasaIndonesia,indo1316,,,233
Maleu,male1289,,,82
MaloSantaCruz,natu1246,,,504
Maloh,emba1238,,,83
Mamanwa,mama1275,,,433
Mambai,mamb1306,,,167
Mamboru,mamb1305,,,324
Manam,mana1295,xd806,Ie29,168
Mangareva,mang1401,xd896,Ij7,239
Manggarai,mang1405,,,84
ManoboAtadownriver,atam1240,,,435
ManoboAtaupriver,atam1240,,,434
ManoboDibabawon,diba1242,,,436
ManoboIlianenKibudtungan_D,ilia1236,,,437
ManoboKalamansigCotabatoParil_D,cota1241,,,438
ManoboSaranganiKayaponga_D,sara1327,,,439
ManoboTigwaIglogsad_D,mati1250,,,440
Mansaka,mans1262,,,442
Maori,maor1246,xd891,"Ij2, SCCS104",85
Mapun,mapu1244,,,491
Maranao,mara1404,,,86
MarovoNewGeorgia,maro1244,,,87
Marquesan,nort2845,xd892,"Ij3, SCCS105",38
Marshallese,mars1254,xd827,If12,344
MarshalleseE_D,mars1254,"xd832, xd834","If17, SCCS108, If3",169
Masiwang,masi1266,,,88
Matukar,matu1261,,,400
Maututu,naka1262,,,394
Megiar,taki1248,,,399
Mekeo,meke1243,xd799,Ie22,89
MelanauMukah,cent2101,,,90
Melayu,stan1306,xd730,Ej8,468
MelayuAmbon,ambo1250,,,170
MelayuBrunei_D,brun1242,,,263
Merei,mere1242,,,470
MerinaMalagasy,plat1254,"xd688, xd687, xd689","Eh2, Eh10, Eh3, SCCS81",92
Minangkabau,mina1268,xd755,Ib6,172
MinyaifuinGebe,gebe1237,,,93
Modang,moda1244,,,232
Moken,moke1242,xd728,Ej6,95
Mokilese,moki1238,,,342
Molima,moli1248,xd851,Ig19,219
Mor,morm1235,,,24
Mori,mori1268,,,41
Mortlockese,mort1237,xd825,If10,345
Mota,mota1237,xd862,Ih1,25
Motu,motu1246,xd786,Ie10,26
Mouk,mouk1239,,,286
MunaKatobuTongkuno_D,muna1247,,,27
MurnatenAlune,alun1238,,,80
Mussau,muss1246,,,79
Mwotlap,motl1237,,,376
