Glottocode	Island group
mbul1263	Bismarck
male1289	Bismarck
bari1286	Bismarck
amar1272	Bismarck
unea1237	Bismarck
lusi1240	Bismarck
mouk1239	Bismarck
lamo1244	Bismarck
mudu1242	Bismarck
muss1246	Bismarck
kove1237	Bismarck
kaul1240	Bismarck
tung1290	Bismarck
mang1403	Bismarck
naka1262	Bismarck
tiga1245	Bismarck
lote1237	Bismarck
nali1244	Bismarck
meng1267	Bismarck
mera1242	Bismarck
nots1237	Bismarck
mada1285	Bismarck
mini1251	Bismarck
kuan1248	Bismarck
baro1253	Bismarck
ramo1244	Bismarck
patp1243	Bismarck
lihi1237	Bismarck
labe1239	Bismarck
surs1246	Bismarck
kand1301	Bismarck
siar1238	Bismarck
tang1348	Bismarck
hali1244	Bismarck
sapo1253	Bismarck
teop1238	Bismarck
papa1265	Bismarck
bauu1243	Central Pacific
fiji1243	Central Pacific
waya1268	Central Pacific
nucl1487	Central Pacific
repa1237	Central Vanuatu
arop1242	New Guinea mainland / Louisiade archipelago
kair1263	New Guinea mainland / Louisiade archipelago
mana1295	New Guinea mainland / Louisiade archipelago
geda1237	New Guinea mainland / Louisiade archipelago
taki1248	New Guinea mainland / Louisiade archipelago
adze1240	New Guinea mainland / Louisiade archipelago
midd1327	New Guinea mainland / Louisiade archipelago
mato1252	New Guinea mainland / Louisiade archipelago
arib1241	New Guinea mainland / Louisiade archipelago
sioo1240	New Guinea mainland / Louisiade archipelago
yabe1254	New Guinea mainland / Louisiade archipelago
mais1250	New Guinea mainland / Louisiade archipelago
gapa1238	New Guinea mainland / Louisiade archipelago
tawa1275	New Guinea mainland / Louisiade archipelago
kili1267	New Guinea mainland / Louisiade archipelago
sude1239	New Guinea mainland / Louisiade archipelago
rali1241	Micronesia
bann1247	Solomons and Bougainville
tora1259	Solomons and Bougainville
urua1242	Solomons and Bougainville
mono1273	Solomons and Bougainville
simb1256	Solomons and Bougainville
ghan1242	Solomons and Bougainville
sisi1250	Solomons and Bougainville
baba1268	Solomons and Bougainville
ughe1237	Solomons and Bougainville
rovi1238	Solomons and Bougainville
kusa1251	Solomons and Bougainville
hoav1238	Solomons and Bougainville
zaba1237	Solomons and Bougainville
koko1269	Solomons and Bougainville
bugh1239	Solomons and Bougainville
ghar1239	Solomons and Bougainville
gela1263	Solomons and Bougainville
tali1259	Solomons and Bougainville
leng1259	Solomons and Bougainville
toab1237	Solomons and Bougainville
long1395	Solomons and Bougainville
wala1266	Solomons and Bougainville
kwar1239	Solomons and Bougainville
lauu1247	Solomons and Bougainville
kwai1243	Solomons and Bougainville
area1240	Solomons and Bougainville
aros1241	Solomons and Bougainville
saaa1240	Solomons and Bougainville
oroh1237	Solomons and Bougainville
owaa1237	Solomons and Bougainville
lamo1243	Micronesia
aust1304	Central Pacific
pitc1234	NA
anda1280	NA
akar1243	NA
siku1242	NA
mina1268	NA
sime1241	NA
coco1260	NA
gayo1244	NA
nias1242	NA
bata1292	NA
bata1294	NA
bata1293	NA
bata1288	NA
ment1249	NA
bata1289	NA
bata1290	NA
lubu1241	NA
bata1291	NA
keri1250	NA
peka1242	NA
jede1239	NA
kubu1239	NA
engg1245	NA
reja1240	NA
jamb1236	NA
cent2053	NA
duan1242	NA
coll1240	NA
kaur1269	NA
lonc1237	NA
musi1241	NA
haji1235	NA
lamp1243	NA
kome1238	NA
lamp1242	NA
bang1365	NA
badu1237	NA
petj1238	NA
beta1252	NA
sund1252	NA
kend1254	NA
rara1235	NA
beka1241	NA
sara1329	NA
indo1316	NA
beny1237	NA
trin1271	NA
baub1235	NA
trin1273	NA
ribu1241	NA
biat1246	NA
sang1339	NA
kemb1249	NA
sebu1243	NA
sema1269	NA
jang1257	NA
buka1257	NA
remu1237	NA
java1254	NA
bala1306	NA
kawi1241	NA
