400	mjk	Matukar
402	brz	Bilibil
82	mgl	Maleu
123	ssz	Sengseng
286	mwh	Mouk
287	mwh	Aria
30	kxa	Kairiru
146	woc	Wogeo
168	mva	Manam
211	pwg	Gapapaiwa
222	ubr	Ubir
51	bwd	Bwaidoga
219	mox	Molima
374	ddi	Diodio
218	dob	Dobuan
227	swp	Suau
404	sbe	Saliba
164	zgr	MagoriSouthEastPapua
26	meu	Motu
89	mek	Mekeo
159	kij	Kilivila
55	irh	KasiraIrahutu
10	gzn	Giman
49	bzq	Buli
106	bhw	Numfor
24	mhz	Mor
46	xmt	BigaMisool
93	gei	MinyaifuinGebe
207	asz	As
142	wrp	Waropen
40	amk	AmbaiYapen
145	wad	WindesiWandamen
6	gay	Gayo
20	jav	Javanese
290	jav	OldJavanese
237	ree	KayanUmaJuman
181	sge	PunanKelai
232	mxd	Modang
195	bvk	Bukat
214	ljp	Lampung
333	kge	Komering
125	sne	Singhi
488	bei	DayakBakatiqSaraRiok
75	mad	Madurese
361	huq	HainanCham
371	cjm	PhanRangChamEasternCham
406	cje	Chru
63	kvr	Kerinci
107	ogn	Ogan
150	bjn	BanjareseMalay
233	ind	MalayBahasaIndonesia
263	kxd	MelayuBrunei_D
362	ind	Indonesian
468	mly	Melayu
172	min	Minangkabau
28	iba	Iban
291	bpr	KoronadalBlaan
95	mwt	Moken
47	bcl	BikolNagaCity
153	ceb	Cebuano
452	tsg	TausugJolo_D
466	sul	Surigaonon
43	akl	AklanonBisayan
433	mmn	Mamanwa
442	msk	Mansaka
428	kqe	Kalagan
277	tgl	Tagalog
450	tgt	TagbanwaAborlan_D
451	tbk	TagbanwaKalamianCoronIsland_D
265	plw	PalawanBatak
13	hnn	Hanunoo
157	ivv	Itbayaten
248	ivv	Iraralay
249	ivv	Itbayat
250	ivv	Imorod
251	ivv	Ivasay
252	ivv	Isamorong
289	ivv	Babuyan
254	tao	Yami
33	pam	Kapampangan
444	sbl	SambalBotolan
288	ilo	Ilokano
409	agt	Agta
417	dgc	DumagatCasiguran
418	gad	Gaddang
279	ibg	Ibanag
410	att	AttaPamplona
424	isd	IsnegDibagatKabugaoIsneg
426	itb	ItnegBinongan
429	knb	KalingaGuinaangLubuagan_D
411	blw	Balangaw
36	bnc	BontokGuinaang
432	xnn	KankanayNorthern
419	ifa	IfugaoAmganad
420	ifb	IfugaoBatad
31	ilk	KakidugenIlongot
405	pag	Pangasinan
423	ibl	Inibaloi
421	ify	IfugaoBayninan
430	kak	KallahanKayapaProper
431	ify	KallahanKeleyqiq
205	lhn	Lahanan
90	mel	MelanauMukah
45	lod	BerawanLongTerawan
151	beg	Belait
15	bny	Bintulu
60	kzi	KelabitBario
22	tih	TimugonMurut
62	ubm	KenyahLongAnap
262	dbj	Idaan
109	pau	Palauan
490	abx	Inabaknon
489	bdl	Bajo
491	sjm	Mapun
443	sml	SamalSiasi_D
200	yka	Yakan
293	bps	SaranganiBlaan
133	tbl	TboliTagabili
86	mrw	Maranao
436	mbd	ManoboDibabawon
434	atd	ManoboAtaupriver
435	atd	ManoboAtadownriver
440	mbt	ManoboTigwaIglogsad_D
144	mbb	WBukidnonManobo
437	mbi	ManoboIlianenKibudtungan_D
415	bkd	Binukid
438	mta	ManoboKalamansigCotabatoParil_D
439	mbs	ManoboSaranganiKayaponga_D
447	syb	SubanunSindangan
448	suc	SubanonSiocon
41	xmz	Mori
12	gor	GorontaloHulondalo
29	kzp	Kaidipang
240	mog	BolaangMongondow
208	bcx	Baree
137	tnt	Tontemboan
27	mnb	MunaKatobuTongkuno_D
147	mnb	Wuna
17	bna	Bonerate
112	bhq	Popalia
2	bgz	BanggaiW_D
183	sxn	Sangir
445	snl	SangilSaraganiIslands
446	sxn	SangirTabukang_D
5	bnq	Bantik
48	bug	BugineseSoppeng_D
83	emb	Maloh
166	mak	Makassar
226	rob	TaeSToraja
192	wlo	Wolio
188	bbc	TobaBatak
104	nia	Nias
284	sun	Sunda
114	rej	RejangRejang
170	abs	MelayuAmbon
134	tdt	Tetum
501	nfl	Aiwoo
502	ngr	Nanggu
504	stc	MaloSantaCruz
505	stc	LwepeSantaCruz
331		OldChinese
351	byu	Buyang
