Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-78.38456194428876,160.86436198381563,0.9870405683030616,0.012959431696938292,0.330943831043762,0.16625656273867,129,51,78
GB021,-63.91481355524428,131.93582180075404,0.999787975283074,2.120247169260334e-4,0.13547415705374713,0.21263222728668807,116,74,42
GB022,-67.07478209535239,138.24405237968116,0.9969336077807561,0.003066392219243899,0.2443061490877387,0.06634337552283648,130,49,81
GB023,-60.84459998461053,125.78443806445915,0.7670026245427638,0.23299737545723612,0.13665276055131687,0.5363309855021675,129,104,25
GB024a,-72.10568648240418,148.30893394041811,0.13805395633354675,0.8619460436664532,0.08510841156987368,0.21609553413469657,126,65,61
GB024b,-63.545290463532275,131.18814190267432,0.0012482704286781116,0.998751729571322,0.09735473872965829,0.11988326445133946,126,49,77
GB025a,-71.68149516361247,147.46135098296264,0.9993702254027728,6.297745972272345e-4,0.13682896394633207,0.16565407771131752,125,91,34
GB025b,-49.20985326030265,102.51806717634301,8.668032487087229e-4,0.9991331967512912,0.16251257753469733,0.07404953438916918,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.56584208700181,127.25289629521575,0.13474758153340932,0.8652524184665906,0.5264865343350196,0.2040912999902489,102,34,68
GB028,-10.025720685323652,24.144464626461257,1.4191983833033508e-5,0.999985808016167,0.2196437254211795,0.011255592279165692,132,2,130
GB030,-21.832870632969914,47.75949126593983,0.99982763129208585,1.723687079141927e-4,0.028508562652339763,0.3183989061796428,131,125,6
GB031,-63.14044170607736,130.3753716011311,0.008313337509832715,0.9916866624901672,0.08065989167380665,0.1362826186633536,130,42,88
GB035,-55.72848581907484,115.56706338126895,0.9016587404805763,0.09834125951942374,0.3687555961078242,0.0872317496932083,112,30,82
GB036,-27.737710492327288,59.58653209576569,0.9455224568637552,0.05447754313624477,0.06562681230762837,0.7483765218342872,111,103,8
GB037,-35.061063178485824,74.23323746808276,0.9095739333349602,0.09042606666503979,0.25541965652769233,2.569480107093586,111,100,11
GB038,-20.747605411379848,45.598659098621766,0.9577422893985409,0.04225771060145915,1.9007082823820902,43.07826136195198,119,114,5
GB039,-41.045813532812446,86.19507534148696,0.8907284059412856,0.10927159405871438,1.8522442694989896,15.098586231827229,119,106,13
GB041,-13.393635413892547,30.91630308584961,0.9673744300934597,0.03262556990654036,1.179307492253529,34.9674171667111,96,93,3
GB042,-14.23640334778996,32.568044790818014,0.9747745164789833,0.0252254835210167,0.06369371921684405,2.4600706006418953,129,126,3
GB043,-10.401360316379566,24.898720632759133,0.982095032329882,0.01790496767011795,0.07440166507212667,4.080932942653709,128,126,2
GB044,-42.306681433275656,88.71092384216107,0.9996470619752666,3.5293802473338544e-4,0.0629721154727016,0.23260161743398716,126,111,15
GB046,-41.28242974189475,86.7553356742657,0.6818181612612026,0.3181818387387974,14.031942289541421,30.06844491408074,66,45,21
GB047,-62.17620251738767,128.47121691596345,0.28202452664440597,0.717975473355594,2.3570035880428177,0.9258376608692934,104,30,74
GB048,-60.3973074563607,124.9250496953301,0.6784388243646606,0.32156117563533937,0.3193039725793129,0.6276468153136746,95,63,32
GB049,-67.94226816109894,140.00574844341,0.4234600289196639,0.5765399710803362,0.503729182773726,0.3281116524824906,102,41,61
GB051,-9.680837645163205,23.46084884404542,0.9999976561022984,2.3438977015821396e-6,0.010378767520926107,0.09344690133031792,124,122,2
GB052,-13.704167299096131,31.508334598192263,0.997990455357616,0.002009544642383981,0.022490572479162193,0.5589303574514205,123,120,3
GB053,-31.367225005744295,66.83614492674283,0.9235119886340282,0.0764880113659719,0.09333168536887713,0.9756536687249737,121,112,9
GB054,-10.916723386229314,25.935141687712864,0.9999987963624072,1.2036375928312673e-6,0.010302012074739995,0.050260186738565124,121,118,3
GB057,-51.337975676397015,106.77764626804827,0.9807408594497208,0.019259140550279184,0.06290918947463767,0.21521094480726916,121,81,40
GB058,-71.45154283570554,147.00564977397516,0.05107762338111815,0.9489223766188818,0.3122072842277012,0.205681246584512,120,52,68
GB059,-14.18291255213159,32.46338607987293,0.02541615047348453,0.9745838495265156,3.467713851050107,0.09043684718552422,126,3,123
GB065a,-87.21583576768838,178.52542153537675,0.053390483925969005,0.946609516074031,0.2440681375155821,0.28932349509394656,131,61,70
GB065b,-62.56108003854131,129.21591007708264,0.11811242985217305,0.881887570147827,0.24002634333745052,0.08316219455876502,131,22,109
GB068,-66.0679115873203,136.24591491775985,0.27680884657909566,0.7231911534209045,25.031097291999256,9.580909745966975,112,31,81
GB069,-68.8025767684298,141.72396541804773,0.6249999834357196,0.3750000165642804,49.67126385220204,82.78543390287032,104,65,39
GB070,-26.919890864973798,57.9389552836666,0.943508662926676,0.056491337073323954,2.3089568795731785,38.56380342659955,124,117,7
GB071,-67.2385613068646,138.5762961674482,0.7672534631685567,0.2327465368314434,1.2462177227530207,4.108180832194677,124,95,29
GB072,-52.74448440623955,109.58980914861355,0.8083081372248173,0.1916918627751826,0.12185146372771397,0.6243990971701749,122,103,19
GB073,-70.57882635651423,145.26021681559257,0.7249521115281052,0.27504788847189476,4.941715888882083,13.02503134316236,120,87,33
GB074,-18.433925687661652,40.9638513753233,0.1971371196437816,0.8028628803562183,0.22539294348743827,0.010464463133699505,128,9,119
GB075,-32.69200524508433,69.48485082630312,0.7583825813074673,0.24161741869253262,0.025692894631266054,0.17220463484039622,122,107,15
GB079,-40.11627696890199,84.32630393780398,0.09160334412491566,0.9083966558750844,99.16555785729543,9.999923120578085,131,12,119
GB080,-60.18296739751699,124.46042298401036,0.09356999997456088,0.906430000025439,0.6073584565969482,0.11431413159056172,130,26,104
GB081,-24.087811097661024,52.2764625314565,0.9999969186425375,3.081357462604253e-6,0.028590860320982802,0.0409362313739335,122,112,10
GB082,-32.66765252462133,69.43054314448077,0.9462517461918794,0.05374825380812058,0.08027614240999634,1.0216754228736218,129,119,10
GB083,-51.980288360423074,108.05657672084615,0.8593717387985238,0.14062826120147617,3.976425250809878,24.299720787239448,128,110,18
GB084,-54.90814395439026,113.91228790878053,0.984445726366132,0.015554273633867981,0.10145085980687486,0.35516775114959914,128,107,21
GB086,-75.06096825810424,154.2236314314627,0.6569526773568648,0.3430473226431353,0.2939563763718251,0.5163620375473206,121,81,40
GB089,-37.9428892577494,79.9810166107369,0.9999904734191423,9.52658085773306e-6,0.05401877666854577,0.07613241787301506,129,116,13
GB090,-70.77941487141784,145.6540678380738,0.019098029152975215,0.9809019708470248,0.09588204005958266,0.1771593694464004,129,78,51
GB091,-30.331488576595138,64.76053812880004,0.9999940481900679,5.951809932097228e-6,0.03880836011268368,0.0668183662253086,126,116,10
GB092,-69.66400426717232,143.42636919008234,0.006902857532123509,0.9930971424678765,0.08481020552178191,0.19761930125228558,125,79,46
GB093,-65.73447392039297,135.56494784078595,2.189436188703452e-4,0.9997810563811297,0.1838484272940795,0.13873081451214997,128,52,76
GB094,-10.397092107054071,24.890184214108142,0.9819704521897051,0.018029547810294918,0.058911320197943526,3.208284146368683,128,126,2
GB095,-23.54993998790505,51.20702283295295,0.9618751113674369,0.03812488863256318,0.049178444360022125,0.841206527890065,115,109,6
GB096,-44.66850171844978,93.44319812716505,0.8706883953797925,0.12931160462020747,3.8190242459119617,25.714475528749173,116,101,15
GB098,-56.307973286871956,116.7221412640094,0.8095798662767958,0.19042013372320413,1.453085883338137,6.177860776162532,116,94,22
GB099,-9.275667143848096,22.672546408908314,0.9974620682888348,0.0025379317111652888,0.014113931497905326,0.5737914826772726,102,100,2
GB103,-39.18191071277632,82.48032627992157,0.9920916344141436,0.00790836558585643,0.07909969078543677,0.19922413608425707,106,92,14
GB104,-35.78587458924013,75.68939623730378,0.9993013890742811,6.986109257187862e-4,0.07031600674228523,0.2501790810711267,105,92,13
GB105,-64.2622535171393,132.6508228237523,0.5306699069883472,0.4693300930116528,0.3974535917260608,0.36643535529126453,98,50,48
GB107,-66.59584638460159,137.28544276920317,0.9858654168451361,0.014134583154863913,0.10699595487715685,0.3279791869119984,131,100,31
GB108,-65.73547605767477,135.571792451484,0.9939687646912403,0.006031235308759719,0.15423394633217047,0.15929433664307696,122,79,43
GB109,-34.281750785973735,72.68850157194747,0.8893363011651421,0.11066369883485791,0.1326808681247197,1.210174952005295,99,88,11
GB110,NA,NA,NA,NA,NA,NA,100,100,0
GB111,-34.97717515853123,74.05779859292453,0.9992264482698676,7.735517301322876e-4,0.051453354950597434,0.3016913912440442,119,108,11
GB113,-57.812511246229235,119.72502249245846,0.16753626759728354,0.8324637324027165,0.8634423530109734,0.19306625727249144,123,22,101
GB114,-43.21557594754002,90.54765674944896,0.8584905510297546,0.14150944897024542,12.733506427609056,77.2499294508422,106,91,15
GB115,-70.84638989654589,145.80287153621103,0.22264821038871396,0.7773517896112861,0.3291199640068063,0.19168502508830151,112,41,71
GB116,-5.627267580820834,15.3710400160106,0.9999984473510195,1.552648980479808e-6,0.007136114130626285,0.09389077161044111,106,105,1
