Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB030	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB030	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB031	Proto-Oceanic	Present	Half	Present	Present	Present	Present	Present	Present
GB031	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB031	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB031	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB035	Proto-Oceanic	Present	Present	Present	Present	Absent	Absent	Present	Present
GB035	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB035	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB035	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB036	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB036	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB036	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB036	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB037	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB037	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB037	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB037	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB038	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB038	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB038	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB038	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB039	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB039	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB039	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB039	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB041	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB041	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB041	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB041	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
