Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB117	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB117	Proto-Polynesian	Absent	Half	Absent	Absent	Absent	Absent	Absent	
GB117	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB118	Proto-Oceanic	Present	Present	Present	Absent	Present	Present	Present	
GB118	Proto-Central Pacific	Present	Half	Present	Absent	Present	Present	Half	
GB118	Proto-Polynesian	Present	Present	Present	Half	Present	Present	Present	
GB118	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB119	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB119	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB119	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB119	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB120	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB120	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB120	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB120	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB121	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB121	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB121	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB121	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB122	Proto-Oceanic	Present	Absent	Absent	Present	Half	Half	Half	
GB122	Proto-Central Pacific	Present	Half	Present	Present	Half	Half	Half	
GB122	Proto-Polynesian	Present	Half	Present	Present	Half	Half	Half	
GB122	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Half	Absent	
GB124	Proto-Oceanic	Absent	Absent	Absent	Absent	Present	Present	Half	
GB124	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB124	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB124	Proto-Eastern Polynesian	Absent	Present	Present	Absent	Present	Present	Present	
GB126	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB126	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB126	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB126	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB127	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB127	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB127	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB127	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB129	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB129	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB129	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB129	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB131	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present
GB131	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present
GB131	Proto-Polynesian	Present	Absent	Absent	Present	Present	Present	Present	Present
GB131	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB132	Proto-Central Pacific	Present	Present	Present	Present	Present	Absent	Absent	Absent
GB132	Proto-Oceanic	Present	Half	Present	Present	Present	Absent	Present	Present
GB132	Proto-Polynesian	Present	Present	Present	Present	Absent	Absent	Absent	Absent
GB132	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB133	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB133	Proto-Oceanic	Absent	Half	Absent	Absent	Absent	Absent	Absent	Present
GB133	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB133	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB134	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB134	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB134	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB134	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB135	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB135	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB135	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB135	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB136	Proto-Oceanic	Present	Present	Present	Absent	Present	Present	Present	
GB136	Proto-Central Pacific	Present	Present	Present	Absent	Half	Half	Half	
GB136	Proto-Polynesian	Present	Present	Present	Absent	Half	Absent	Present	
GB136	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Half	Present	
GB137	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB137	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB137	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB137	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB138	Proto-Oceanic	Absent	Absent	Absent	Half	Absent	Absent	Absent	
GB138	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB138	Proto-Polynesian	Absent	Absent	Absent	Half	Absent	Absent	Half	
GB138	Proto-Eastern Polynesian	Present	Present	Present	Present	Absent	Absent	Present	
GB139	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB139	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB139	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB139	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB140	Proto-Eastern Polynesian	Absent	Present	Present	Absent	Half	Half	Absent	Absent
GB140	Proto-Oceanic	Half	Present	Present	Half	Half	Half	Half	Absent
GB140	Proto-Central Pacific	Absent	Present	Present	Absent	Half	Half	Half	
GB140	Proto-Polynesian	Half	Absent	Absent	Present	Half	Half	Half	
GB146	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB146	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB146	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB146	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB147	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Present	Present	Present
GB147	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB147	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Half	Present
GB147	Proto-Central Pacific	Absent	Half	Absent	Absent	Absent	Absent	Half	
GB148	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB148	Proto-Central Pacific	Half	Absent	Absent	Half	Absent	Absent	Absent	
GB148	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB148	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB149	Proto-Oceanic	Absent	Absent	Absent				Absent	
GB149	Proto-Central Pacific	Absent	Absent	Absent				Absent	
GB149	Proto-Polynesian	Absent	Absent	Absent				Absent	
GB149	Proto-Eastern Polynesian	Absent	Absent	Absent				Absent	
GB150	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB150	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB150	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB150	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB151	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB151	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB151	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB151	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB152	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB152	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB152	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB152	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB155	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	Present
GB155	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB155	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB155	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB156	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB156	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB156	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB156	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB158	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB158	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB158	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB158	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB159	Proto-Oceanic	Present	Present	Present	Half	Present	Half	Present	Present
GB159	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB159	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB159	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB160	Proto-Oceanic	Present	Present	Present	Present	Half	Half	Half	
GB160	Proto-Central Pacific	Present	Present	Present	Present	Half	Half	Half	
GB160	Proto-Polynesian	Half	Absent	Absent	Half	Half	Absent	Absent	
GB160	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Absent	Half	
GB165	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB165	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB165	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB165	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB166	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB166	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB166	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB166	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB167	Proto-Oceanic	Absent	Absent	Absent	Absent			Absent	
GB167	Proto-Central Pacific	Absent	Absent	Absent	Absent			Absent	
GB167	Proto-Polynesian	Absent	Absent	Absent	Absent			Absent	
GB167	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent			Absent	
GB170	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB170	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB170	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB170	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB171	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB171	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB171	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB171	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB172	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB172	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB172	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB172	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB177	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB177	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB177	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB177	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB184	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB184	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB184	Proto-Polynesian	Absent	Half	Absent	Absent	Absent	Absent	Absent	
GB184	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB185	Proto-Oceanic	Absent	Absent	Absent	Absent	Half	Absent	Absent	
GB185	Proto-Central Pacific	Absent	Half	Absent	Absent	Half	Absent	Absent	
GB185	Proto-Polynesian	Absent	Present	Half	Absent	Half	Absent	Absent	
GB185	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Absent	Absent	
GB186	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB186	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Half	Present	
GB186	Proto-Polynesian	Absent	Present	Present	Absent	Absent	Present	Present	
GB186	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Present	Absent	
GB187	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB187	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB187	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB187	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB188	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB188	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB188	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB188	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB192	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB192	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB192	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB192	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB196	Proto-Oceanic	Absent	Absent	Absent	Absent			Absent	
GB196	Proto-Central Pacific	Absent	Absent	Absent	Absent			Absent	
GB196	Proto-Polynesian	Absent	Absent	Absent	Absent			Absent	
GB196	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent			Absent	
GB197	Proto-Oceanic	Absent	Absent	Absent	Absent			Absent	
GB197	Proto-Central Pacific	Absent	Absent	Absent	Absent			Absent	
GB197	Proto-Polynesian	Absent	Absent	Absent	Absent			Absent	
GB197	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent			Absent	
GB198	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB198	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB198	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB198	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB204	Proto-Oceanic	Present	Half	Absent	Present	Half	Half	Half	
GB204	Proto-Central Pacific	Present	Present	Present	Present	Half	Half	Absent	
GB204	Proto-Polynesian	Absent	Absent	Absent	Absent	Half	Half	Absent	
GB204	Proto-Eastern Polynesian	Absent	Absent	Absent	Half	Half	Half	Half	
GB250	Proto-Oceanic	Absent	Half	Half	Absent	Absent	Absent	Absent	
GB250	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB250	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB250	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB254	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB254	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB254	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB254	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB260	Proto-Oceanic	Absent	Absent	Absent	Absent			Absent	Absent
GB260	Proto-Central Pacific	Absent	Absent	Absent	Absent			Absent	
GB260	Proto-Polynesian	Absent	Absent	Absent	Absent			Absent	
GB260	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent			Absent	
GB262	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB262	Proto-Central Pacific	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB262	Proto-Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB262	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB263	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB263	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB263	Proto-Polynesian	Absent	Absent	Absent	Half	Absent	Absent	Absent	
GB263	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB264	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB264	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB264	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB264	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB265	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB265	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB265	Proto-Polynesian	Absent	Half	Absent	Absent	Absent	Absent	Absent	
GB265	Proto-Eastern Polynesian	Absent	Present	Absent	Absent	Absent	Absent	Absent	
GB266	Proto-Oceanic	Present	Half	Present	Present	Half	Half	Half	
GB266	Proto-Central Pacific	Present	Present	Present	Present	Half	Present	Present	
GB266	Proto-Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB266	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB275	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB275	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB275	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB275	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB276	Proto-Oceanic	Half	Half	Half	Half	Half	Half	Absent	
GB276	Proto-Central Pacific	Present	Present	Present	Present	Half	Present	Present	
GB276	Proto-Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB276	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB285	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB285	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB285	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB285	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB286	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB286	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB286	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB286	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB291	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB291	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB291	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB291	Proto-Eastern Polynesian	Absent	Half	Absent	Absent	Absent	Half	Absent	
GB297	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB297	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB297	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB297	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB299	Proto-Oceanic	Present	Present	Present	Half	Present	Present	Present	Present
GB299	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB299	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB299	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB300	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB300	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB300	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB300	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB301	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB301	Proto-Central Pacific	Present	Half	Absent	Present	Present	Present	Present	
GB301	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB301	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB302	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB302	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB302	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB302	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB304	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB304	Proto-Central Pacific	Absent	Half	Absent	Absent	Absent	Absent	Half	
GB304	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB304	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB305	Proto-Oceanic	Absent	Absent	Absent	Present	Absent	Half	Absent	
GB305	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB305	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB305	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB312	Proto-Oceanic	Absent	Present	Present	Absent	Absent	Half	Absent	Present
GB312	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB312	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB312	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB313	Proto-Oceanic	Absent	Absent	Absent	Absent	Half	Half	Half	
GB313	Proto-Central Pacific	Absent	Absent	Absent	Absent	Half	Half	Half	
GB313	Proto-Polynesian	Absent	Absent	Absent	Absent	Half	Half	Half	
GB313	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Half	Absent	
GB314	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB314	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB314	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB314	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB315	Proto-Oceanic	Absent	Absent	Absent				Absent	
GB315	Proto-Central Pacific	Absent	Absent	Absent				Absent	
GB315	Proto-Polynesian	Absent	Absent	Absent				Absent	
GB315	Proto-Eastern Polynesian	Absent	Absent	Absent				Absent	
GB316	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB316	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB316	Proto-Polynesian	Absent	Half	Half	Absent	Absent	Present	Half	
GB316	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Present	Absent	
GB317	Proto-Oceanic	Absent	Absent	Absent	Present	Absent	Absent	Absent	
GB317	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB317	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB317	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB318	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB318	Proto-Oceanic	Absent	Absent	Absent	Absent	Half	Absent	Half	
GB318	Proto-Central Pacific	Absent	Absent	Absent	Absent	Half	Absent	Present	
GB318	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB319	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB319	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB319	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB319	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
