glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Absent	Absent	Absent	Absent	Half	Absent	Half		GB025a	Proto-Polynesian	1	0		258	0.25968992248062017	67	1	0		0.272	34	125	1	0	125	0.272	34		0.9771670986918516	0.0228329013081483	0.25968992248062017	67	258		0.41321795189135535	0.5867820481086446	0.272	34		125		125	34	0.272	0.9406673132478084	0.05933268675219178	258	67	0.5666666666666667	0.43333333333333335	0.25968992248062017		258	191	67	0.25968992248062017	
Present	Present	Present	Present	Present	Present	Present		GB025a	Proto-Eastern Polynesian	0	1		258	0.25968992248062017	67	0	1		0.272	34	125	0	1	125	0.272	34		1.1284228708728291e-6	0.9999988715771292	0.25968992248062017	67	258		0.2540456410729962	0.7459543589270038	0.272	34		125		125	34	0.272	0.09959721106046532	0.9004027889395346	258	67	0	1	0.25968992248062017		258	191	67	0.25968992248062017	
Present	Present	Present	Present	Present	Present	Present	Present	GB025b	Proto-Oceanic	0	1	True Positive	258	0.14728682170542637	38	0	1	True Positive	0.152	19	125	0	1	125	0.152	19	True Positive	0.00217390259593495	0.997826097404065	0.14728682170542637	38	258	True Positive	0.07604261355698061	0.9239573864430194	0.152	19	True Positive	125	True Positive	125	19	0.152	0.00561219726487232	0.9943878027351276	258	38	0.14728682170542637	0.8527131782945736	0.14728682170542637	True Positive	258	38	220	0.14728682170542637	
Present	Present	Present	Present	Present	Present	Present		GB025b	Proto-Central Pacific	0	1		258	0.14728682170542637	38	0	1		0.152	19	125	0	1	125	0.152	19		0.00731858585096885	0.9926814141490312	0.14728682170542637	38	258		0.02560590836239435	0.9743940916376056	0.152	19		125		125	19	0.152	0.00544527259611125	0.9945547274038888	258	38	0.18181818181818185	0.8181818181818182	0.14728682170542637		258	38	220	0.14728682170542637	
Present	Present	Present	Present	Present	Present	Present		GB025b	Proto-Polynesian	0	1		258	0.14728682170542637	38	0	1		0.152	19	125	0	1	125	0.152	19		0.03180170811667605	0.968198291883324	0.14728682170542637	38	258		0.02833695554683399	0.971663044453166	0.152	19		125		125	19	0.152	0.00348226561823506	0.9965177343817648	258	38	0.2	0.8	0.14728682170542637		258	38	220	0.14728682170542637	
Present	Present	Present	Half	Present	Present	Present		GB025b	Proto-Eastern Polynesian	0	1		258	0.14728682170542637	38	0	1		0.152	19	125	0	1	125	0.152	19		0.49410074947705696	0.505899250522943	0.14728682170542637	38	258		0.03509331883130904	0.964906681168691	0.152	19		125		125	19	0.152	0.00743585538068841	0.9925641446193116	258	38	0.375	0.625	0.14728682170542637		258	38	220	0.14728682170542637	
Absent	Present	Present	Absent	Half	Present	Half	Present	GB065a	Proto-Oceanic	1	0	False Negative	262	0.4122137404580153	108	0	1	True Positive	0.46564885496183206	61	131	0.225	0.775	131	0.4656488549618321	61	True Positive	0.996030822531711	0.00396917746828898	0.4122137404580153	108	262	False Negative	0.46258140878414417	0.5374185912158559	0.46564885496183206	61	Half	131	True Positive	131	61	0.4656488549618321	0.14271312910660744	0.8572868708933926	262	108	0.4122137404580153	0.5877862595419847	0.4122137404580153	Half	262	108	154	0.4122137404580153	
Present	Present	Present	Present	Half	Present	Present		GB065a	Proto-Central Pacific	0	1		262	0.4122137404580153	108	0	1		0.46564885496183206	61	131	0.3199285714285714	0.6800714285714285	131	0.4656488549618321	61		0.34584899477985476	0.6541510052201452	0.4122137404580153	108	262		0.4625814087841441	0.5374185912158558	0.46564885496183206	61		131		131	61	0.4656488549618321	0.19186467714177444	0.8081353228582255	262	108	0.3235294117647059	0.6764705882352942	0.4122137404580153		262	108	154	0.4122137404580153	
Present	Present	Present	Present	Half	Present	Present		GB065a	Proto-Polynesian	0	1		262	0.4122137404580153	108	0	1		0.46564885496183206	61	131	0.20319474969474968	0.7968052503052503	131	0.4656488549618321	61		0.35921292098025315	0.6407870790197469	0.4122137404580153	108	262		0.46258140878414394	0.5374185912158561	0.46564885496183206	61		131		131	61	0.4656488549618321	0.0910262515781028	0.9089737484218972	262	108	0.3225806451612903	0.6774193548387096	0.4122137404580153		262	108	154	0.4122137404580153	
Present	Present	Present	Present	Half	Present	Present		GB065a	Proto-Eastern Polynesian	0	1		262	0.4122137404580153	108	0	1		0.46564885496183206	61	131	0	1	131	0.4656488549618321	61		0.01561787939606679	0.9843821206039332	0.4122137404580153	108	262		0.4625814087841439	0.5374185912158562	0.46564885496183206	61		131		131	61	0.4656488549618321	0.01525515908754322	0.9847448409124568	262	108	0.3333333333333333	0.6666666666666666	0.4122137404580153		262	108	154	0.4122137404580153	
