Feature_ID	0	1	Proto-language	most_common_prediction	Prediction	result_most_common	min	ntip	min_percent_most_common
GB320	0.9377593360995851	0.06224066390041494	Proto-Oceanic	Absent	NA	NA	15	241	0.06224066390041494
GB321	0.9787234042553191	0.02127659574468085	Proto-Oceanic	Absent	NA	NA	5	235	0.02127659574468085
GB322	0.940677966101695	0.059322033898305086	Proto-Oceanic	Not enough languages	NA	Not enough languages	7	118	0.059322033898305086
GB323	0.9658119658119658	0.03418803418803419	Proto-Oceanic	Not enough languages	NA	Not enough languages	4	117	0.03418803418803419
GB324	0.6909090909090909	0.3090909090909091	Proto-Oceanic	Absent	NA	NA	68	220	0.3090909090909091
GB325	0.9476744186046512	0.05232558139534884	Proto-Oceanic	Absent	NA	NA	9	172	0.05232558139534884
GB326	0.18055555555555555	0.8194444444444444	Proto-Oceanic	Present	NA	NA	39	216	0.18055555555555555
GB327	0.0182648401826484	0.9817351598173516	Proto-Oceanic	Present	NA	NA	4	219	0.0182648401826484
GB328	0.9665071770334929	0.03349282296650718	Proto-Oceanic	Absent	NA	NA	7	209	0.03349282296650718
GB329	0.9479166666666666	0.052083333333333336	Proto-Oceanic	Absent	NA	NA	10	192	0.052083333333333336
GB330	0.9308510638297872	0.06914893617021277	Proto-Oceanic	Absent	NA	NA	13	188	0.06914893617021277
GB331	0.9166666666666666	0.08333333333333333	Proto-Oceanic	Absent	NA	NA	16	192	0.08333333333333333
GB333	0.2543103448275862	0.7456896551724138	Proto-Oceanic	Present	1	True Positive	59	232	0.2543103448275862
GB334	0.5560344827586207	0.44396551724137934	Proto-Oceanic	Half	NA	NA	103	232	0.44396551724137934
GB335	0.8552631578947368	0.14473684210526316	Proto-Oceanic	Absent	NA	NA	33	228	0.14473684210526316
GB336	0.9955357142857143	0.004464285714285714	Proto-Oceanic	Absent	NA	NA	1	224	0.004464285714285714
GB400	0.9271844660194175	0.07281553398058252	Proto-Oceanic	Absent	NA	NA	15	206	0.07281553398058252
GB401	0.6198347107438017	0.38016528925619836	Proto-Oceanic	Not enough languages	NA	Not enough languages	46	121	0.38016528925619836
GB402	0.9871794871794872	0.01282051282051282	Proto-Oceanic	Absent	NA	NA	2	156	0.01282051282051282
GB403	0.8545454545454545	0.14545454545454545	Proto-Oceanic	Absent	NA	NA	24	165	0.14545454545454545
GB408	0.628099173553719	0.371900826446281	Proto-Oceanic	Absent	1	False Negative	90	242	0.371900826446281
GB409	0.8291666666666667	0.17083333333333334	Proto-Oceanic	Absent	0	True Negative	41	240	0.17083333333333334
GB410	0.23529411764705882	0.7647058823529411	Proto-Oceanic	Present	NA	NA	56	238	0.23529411764705882
GB415	0.8814432989690721	0.11855670103092783	Proto-Oceanic	Absent	NA	NA	23	194	0.11855670103092783
GB421	0.36312849162011174	0.6368715083798883	Proto-Oceanic	Present	NA	NA	65	179	0.36312849162011174
GB422	0.946524064171123	0.053475935828877004	Proto-Oceanic	Absent	NA	NA	10	187	0.053475935828877004
GB430	0.92	0.08	Proto-Oceanic	Absent	0	True Negative	20	250	0.08
GB431	0.9007936507936508	0.0992063492063492	Proto-Oceanic	Absent	0	True Negative	25	252	0.0992063492063492
GB432	0.8995983935742972	0.10040160642570281	Proto-Oceanic	Absent	0	True Negative	25	249	0.10040160642570281
GB433	0.2015810276679842	0.7984189723320159	Proto-Oceanic	Present	1	True Positive	51	253	0.2015810276679842
GB519	0.39285714285714285	0.6071428571428571	Proto-Oceanic	Present	NA	NA	88	224	0.39285714285714285
GB520	0.2764227642276423	0.7235772357723578	Proto-Oceanic	Present	NA	NA	68	246	0.2764227642276423
GB521	0.5809128630705395	0.4190871369294606	Proto-Oceanic	Half	0	Half	101	241	0.4190871369294606
GB522	0.27522935779816515	0.7247706422018348	Proto-Oceanic	Present	1	True Positive	60	218	0.27522935779816515
GB024a	0.6126482213438735	0.38735177865612647	Proto-Oceanic	Absent	NA	NA	98	253	0.38735177865612647
GB024b	0.31225296442687744	0.6877470355731226	Proto-Oceanic	Present	NA	NA	79	253	0.31225296442687744
GB025a	0.7403100775193798	0.25968992248062017	Proto-Oceanic	Absent	0	True Negative	67	258	0.25968992248062017
GB025b	0.14728682170542637	0.8527131782945736	Proto-Oceanic	Present	1	True Positive	38	258	0.14728682170542637
GB065a	0.4122137404580153	0.5877862595419847	Proto-Oceanic	Half	1	Half	108	262	0.4122137404580153
GB065b	0.23282442748091603	0.767175572519084	Proto-Oceanic	Present	1	True Positive	61	262	0.23282442748091603
GB130a	0.21455938697318008	0.7854406130268199	Proto-Oceanic	Present	NA	NA	56	261	0.21455938697318008
GB130b	0.7547892720306514	0.24521072796934865	Proto-Oceanic	Absent	NA	NA	64	261	0.24521072796934865
GB193a	0.8181818181818182	0.18181818181818182	Proto-Oceanic	Absent	0	True Negative	46	253	0.18181818181818182
GB193b	0.05533596837944664	0.9446640316205533	Proto-Oceanic	Present	1	True Positive	14	253	0.05533596837944664
GB203a	0.678391959798995	0.32160804020100503	Proto-Oceanic	Absent	NA	NA	64	199	0.32160804020100503
GB203b	0.2613065326633166	0.7386934673366834	Proto-Oceanic	Present	NA	NA	52	199	0.2613065326633166
GB020	0	1	Proto-Central Pacific	Present	NA	NA	118	255	0.4627450980392157
GB021	0.26666666666666666	0.7333333333333333	Proto-Central Pacific	Present	NA	NA	79	238	0.3319327731092437
GB022	0	1	Proto-Central Pacific	Present	NA	NA	122	259	0.47104247104247104
GB023	0.9411764705882353	0.058823529411764705	Proto-Central Pacific	Absent	NA	NA	58	259	0.22393822393822393
GB026	1	0	Proto-Central Pacific	Absent	NA	NA	2	234	0.008547008547008548
GB027	0.6785714285714286	0.32142857142857145	Proto-Central Pacific	Absent	NA	NA	63	213	0.29577464788732394
GB028	0	1	Proto-Central Pacific	Present	NA	NA	7	272	0.025735294117647058
GB030	1	0	Proto-Central Pacific	Absent	NA	NA	7	266	0.02631578947368421
GB031	0.05714285714285714	0.9428571428571428	Proto-Central Pacific	Present	NA	NA	90	262	0.3435114503816794
GB035	0.029411764705882353	0.9705882352941176	Proto-Central Pacific	Present	NA	NA	81	238	0.3403361344537815
GB036	1	0	Proto-Central Pacific	Absent	NA	NA	17	237	0.07172995780590717
GB037	0.84375	0.15625	Proto-Central Pacific	Absent	NA	NA	23	235	0.09787234042553192
GB038	1	0	Proto-Central Pacific	Absent	NA	NA	6	249	0.024096385542168676
GB039	0.8709677419354839	0.12903225806451613	Proto-Central Pacific	Absent	NA	NA	19	241	0.07883817427385892
GB041	1	0	Proto-Central Pacific	Absent	NA	NA	5	195	0.02564102564102564
GB042	1	0	Proto-Central Pacific	Absent	NA	NA	8	263	0.030418250950570342
GB043	0.9705882352941176	0.029411764705882353	Proto-Central Pacific	Absent	NA	NA	8	261	0.03065134099616858
GB044	0.9411764705882353	0.058823529411764705	Proto-Central Pacific	Absent	NA	NA	37	262	0.14122137404580154
GB046	0.5217391304347826	0.4782608695652174	Proto-Central Pacific	Not enough languages	NA	Not enough languages	41	134	0.30597014925373134
GB047	0.3333333333333333	0.6666666666666666	Proto-Central Pacific	Present	NA	NA	58	199	0.2914572864321608
GB048	0.75	0.25	Proto-Central Pacific	Absent	NA	NA	69	186	0.3709677419354839
GB049	0.4166666666666667	0.5833333333333334	Proto-Central Pacific	Half	NA	NA	77	190	0.4052631578947368
GB051	1	0	Proto-Central Pacific	Absent	NA	NA	4	251	0.01593625498007968
GB052	0.9696969696969697	0.030303030303030304	Proto-Central Pacific	Absent	NA	NA	5	250	0.02
GB053	1	0	Proto-Central Pacific	Absent	NA	NA	16	245	0.0653061224489796
GB054	1	0	Proto-Central Pacific	Absent	NA	NA	5	245	0.02040816326530612
GB057	0.34375	0.65625	Proto-Central Pacific	Present	NA	NA	63	244	0.2581967213114754
GB058	0.75	0.25	Proto-Central Pacific	Absent	NA	NA	112	251	0.44621513944223107
GB059	0.0625	0.9375	Proto-Central Pacific	Present	NA	NA	10	261	0.038314176245210725
GB068	0.2	0.8	Proto-Central Pacific	Present	NA	NA	66	223	0.29596412556053814
GB069	0.6538461538461539	0.34615384615384615	Proto-Central Pacific	Absent	NA	NA	71	206	0.3446601941747573
GB070	0.9411764705882353	0.058823529411764705	Proto-Central Pacific	Absent	NA	NA	17	259	0.06563706563706563
GB071	0.78125	0.21875	Proto-Central Pacific	Absent	0	True Negative	64	256	0.25
GB072	0.967741935483871	0.03225806451612903	Proto-Central Pacific	Absent	NA	NA	43	256	0.16796875
GB073	0.78125	0.21875	Proto-Central Pacific	Absent	0	True Negative	61	249	0.24497991967871485
GB074	0	1	Proto-Central Pacific	Present	NA	NA	25	267	0.09363295880149813
GB075	0.967741935483871	0.03225806451612903	Proto-Central Pacific	Absent	NA	NA	48	256	0.1875
GB079	0.17647058823529413	0.8235294117647058	Proto-Central Pacific	Present	1	True Positive	23	263	0.08745247148288973
GB080	0.24242424242424243	0.7575757575757576	Proto-Central Pacific	Present	NA	NA	56	261	0.21455938697318008
GB081	1	0	Proto-Central Pacific	Absent	NA	NA	23	245	0.09387755102040816
GB082	0.9393939393939394	0.06060606060606061	Proto-Central Pacific	Absent	NA	NA	29	259	0.11196911196911197
GB083	0.8787878787878788	0.12121212121212122	Proto-Central Pacific	Absent	NA	NA	41	261	0.15708812260536398
GB084	0.90625	0.09375	Proto-Central Pacific	Absent	NA	NA	47	261	0.18007662835249041
GB086	0.8666666666666667	0.13333333333333333	Proto-Central Pacific	Absent	NA	NA	96	244	0.39344262295081966
GB089	0.9393939393939394	0.06060606060606061	Proto-Central Pacific	Absent	NA	NA	27	267	0.10112359550561797
GB090	0.8484848484848485	0.15151515151515152	Proto-Central Pacific	Absent	NA	NA	131	267	0.49063670411985016
GB091	1	0	Proto-Central Pacific	Absent	NA	NA	16	263	0.060836501901140684
GB092	0.90625	0.09375	Proto-Central Pacific	Absent	NA	NA	128	263	0.4866920152091255
GB093	0.90625	0.09375	Proto-Central Pacific	Absent	NA	NA	108	265	0.4075471698113208
GB094	1	0	Proto-Central Pacific	Absent	NA	NA	5	265	0.018867924528301886
GB095	1	0	Proto-Central Pacific	Absent	NA	NA	17	231	0.0735930735930736
GB096	0.7096774193548387	0.2903225806451613	Proto-Central Pacific	Absent	NA	NA	28	238	0.11764705882352941
GB098	0.9032258064516129	0.0967741935483871	Proto-Central Pacific	Absent	NA	NA	49	238	0.20588235294117646
GB099	0.9629629629629629	0.037037037037037035	Proto-Central Pacific	Absent	NA	NA	5	202	0.024752475247524754
GB103	0.9642857142857143	0.03571428571428571	Proto-Central Pacific	Absent	NA	NA	27	217	0.12442396313364056
GB104	0.8846153846153846	0.11538461538461539	Proto-Central Pacific	Absent	NA	NA	28	219	0.1278538812785388
GB105	0.6538461538461539	0.34615384615384615	Proto-Central Pacific	Absent	NA	NA	94	204	0.46078431372549017
GB107	0.8181818181818182	0.18181818181818182	Proto-Central Pacific	Absent	NA	NA	65	261	0.24904214559386972
GB108	0.7878787878787878	0.21212121212121213	Proto-Central Pacific	Absent	NA	NA	80	244	0.32786885245901637
