Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-79.63707770007436,163.36939349538682,0.9745629573556566,0.025437042644343336,0.3471502358598933,0.18249778718397894,129,51,78
GB021,-65.06606076892038,134.23831622810624,0.9995637706554718,4.36229344528147e-4,0.14851498251160256,0.23687531031096268,116,74,42
GB022,-67.40314682914958,138.90078184727554,0.9968433431465233,0.0031566568534766816,0.24624608259521164,0.06648610552248482,130,49,81
GB023,-61.484322501282584,127.06388309780326,0.7603721351999667,0.23962786480003326,0.14109868360953304,0.5702494549718198,129,104,25
GB024a,-72.05465027574024,148.20686152709024,0.055649838057980586,0.9443501619420194,0.09484012450626703,0.225376602540882,126,65,61
GB024b,-62.451545648637364,129.00065227288448,3.548091709567475e-5,0.9999645190829043,0.06452830993138937,0.12135370394622985,126,49,77
GB025a,-70.79200311955165,145.682366894841,0.9997700002160174,2.2999978398253283e-4,0.1390596596892946,0.14514967536053147,125,91,34
GB025b,-49.877850564207925,103.85406178415356,8.171498748473707e-4,0.9991828501251527,0.1575467370645862,0.0790671417163715,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.646949662923156,127.41511144705844,0.09833409947797249,0.9016659005220274,0.48356648506607297,0.1953236302925941,102,34,68
GB028,-9.998368398345693,24.08976005250534,9.222162436923937e-6,0.9999907778375632,0.25512902350974614,0.011735818899773157,132,2,130
GB030,-21.573034742139832,47.239819484279664,0.9999318750828275,6.812491717236265e-5,0.028875092454073183,0.3259347350130477,131,125,6
GB031,-64.20689118741258,132.50827056380155,0.0037195884214832552,0.9962804115785168,0.10072888083392448,0.1439680709198898,130,42,88
GB035,-55.70995338041743,115.52999850395413,0.8909103078419348,0.10908969215806526,0.3839681434478,0.09528362093040636,112,30,82
GB036,-27.88465276494355,59.880416640998206,0.9321886405992116,0.06781135940078843,0.07200550263899377,0.8169609156373975,111,103,8
GB037,-34.76921770982499,73.6495465307611,0.9127513780306774,0.08724862196932258,0.2374919279219613,2.484772568127756,111,100,11
GB038,-21.411179087830426,46.925806451522924,0.9566833405564452,0.04331665944355468,0.050908108163663465,1.1215094719598706,119,114,5
GB039,-41.040086476259944,86.18362122838195,0.8906359284624813,0.10936407153751876,1.651465743918146,13.449158443720913,119,106,13
GB041,-13.393635526969916,30.91630331200435,0.967374402020104,0.03262559797989594,2.9080270527832015,86.22526805417972,96,93,3
GB042,-14.246114258629984,32.58746661249806,0.975036244705335,0.024963755294664984,0.08482055469231771,3.312848200062614,129,126,3
GB043,-10.402743954747729,24.901487909495458,0.9821175014384302,0.017882498561569687,0.08876057420582846,4.87478199859556,128,126,2
GB044,-42.45780162076943,89.01316421714861,0.999951962430926,4.8037569074078734e-5,0.062123386586660966,0.20814816857465052,126,111,15
GB046,-41.282429763070816,86.75533571661782,0.6818067160224891,0.3181932839775109,11.40341336997528,24.434594357369612,66,45,21
GB047,-62.11157678056312,128.34196544231435,0.28182952249628973,0.7181704775037103,3.06145259350831,1.2013965944968708,104,30,74
GB048,-59.72616052306338,123.58275582873546,0.6818274570322396,0.3181725429677605,0.2965686152720307,0.5908540826279841,95,63,32
GB049,-68.89349335022423,141.9081988216606,0.39370440947215724,0.6062955905278427,0.5849496834316897,0.39245815382808363,102,41,61
GB051,-9.634675711600442,23.368524976919893,0.9999995930906169,4.069093831151549e-7,0.010476527162468075,0.09477421522196508,124,122,2
GB052,-13.667761337532122,31.43552267506424,0.9994833804029762,5.166195970237046e-4,0.02027151811048455,0.4267124903116319,123,120,3
GB053,-31.466396036218196,67.03448698769063,0.9185481985896249,0.08145180141037509,0.1033693551752031,1.1084563204940678,121,112,9
GB054,-10.89045307769608,25.882601070646395,0.9999997531959225,2.4680407750127037e-7,0.010631595211951382,0.06333700748595626,121,118,3
GB057,-52.43172245337659,108.96513982200742,0.9721182415225856,0.02788175847741435,0.06553115208514323,0.2147977193613373,121,81,40
GB058,-72.02339626569099,148.14935663394607,0.07980273755032163,0.9201972624496785,0.347264266032042,0.21824517825902603,120,52,68
GB059,-14.166383038144701,32.430327051899155,0.02553443097877512,0.9744655690212249,3.4828901729446593,0.09126686811232594,126,3,123
GB065a,-88.89096800724535,181.8756860144907,0.23562619880449973,0.7643738011955002,0.3375237023170944,0.34351911093417986,131,61,70
GB065b,-59.2909976644085,122.675745328817,0.1679260493237547,0.8320739506762452,69.14027609000965,13.953631649582226,131,22,109
GB068,-66.06788871754289,136.24586917820503,0.27678572108951627,0.7232142789104838,60.137658317172786,23.015647792559538,112,31,81
GB069,-68.80257676843499,141.7239654180581,0.6249999926084027,0.37500000739159733,59.923972317325166,99.87328404579007,104,65,39
GB070,-26.919412722578073,57.93799899887515,0.9435003145991574,0.056499685400842686,1.4496338291113708,24.20774494789955,124,117,7
GB071,-67.43050090879012,138.96017537129924,0.7659581741636808,0.23404182583631913,3.4667310402041647,11.345711256450446,124,95,29
GB072,-52.94060761768823,109.98205557151091,0.8007414084607283,0.19925859153927172,0.13131863816371367,0.6806355441245394,122,103,19
GB073,-70.53398792439879,145.17053995136166,0.7239815574165885,0.2760184425834115,2.6213633903556928,6.875695450426403,120,87,33
GB074,-18.026175753986003,40.14835150797201,0.024836351998217803,0.9751636480017821,0.20883049008458168,0.011176620552250233,128,9,119
GB075,-32.6667974633578,69.43443526285006,0.9663280512822274,0.03367194871777256,0.026734419235771474,0.16404609800501396,122,107,15
GB079,-40.11627698624286,84.32630397248572,0.0916035361700745,0.9083964638299254,99.99608144673138,10.083696963164705,131,12,119
GB080,-59.23657347790779,122.56763514479195,0.16580764667519787,0.8341923533248022,0.6274586491455765,0.10764766126762475,130,26,104
GB081,-24.191672727396156,52.484185790926766,0.9999995659469083,4.340530916047102e-7,0.028919347991410608,0.0407577505678096,122,112,10
GB082,-32.70003897824382,69.49531605172572,0.9416928644865135,0.05830713551348648,0.08482096313592392,1.085143766329596,129,119,10
GB083,-51.97690094808932,108.04980189617865,0.8593227104499009,0.14067728955009914,2.767060152783007,16.90249817914362,128,110,18
GB084,-55.31740548271768,114.73081096543537,0.9782505258751736,0.02174947412482638,0.10883923856907084,0.4093446993022505,128,107,21
GB086,-75.94235142902996,155.98639777331414,0.6604548929156326,0.3395451070843675,0.30351733534981495,0.52716078499215,121,81,40
