Grambank ID,Abbreviation,Question,Proto-language,Finding from Historical Linguistics,Historical Linguistics sources
GB028,Clusivity,Is there a distinction between inclusive and exclusive?,Proto-Polynesian,Present,\citet[4]{marck2000 encyclo}
GB031,PRODualAug,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,Proto-Polynesian,Present,\citet[4]{marck2000 encyclo}
GB035,DEMDistContrast,Are there three or more distance contrasts in demonstratives?,Proto-Polynesian,Present,\citet[77]{clark1976aspects}
GB059,POSSAlienability,Is the adnominal possessive construction different for alienable and inalienable nouns?,Proto-Polynesian,Present,"\citet[4]{marck2000 encyclo}, \citet[47]{clark1976aspects}"
GB070,CoreCaseNoun,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,Proto-Polynesian,Absent,\cite[261-261]{chung1978}
GB071,CoreCasePRO,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,Proto-Central Pacific,Absent,\citet[1]{kikusawa2002proto}
GB074,Prepositions,Are there prepositions?,Proto-Polynesian,Present,"\citet[26]{chung1978}, \citet[24, 43]{clark1976aspects}"
GB079,VPrefixing,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",Proto-Central Pacific,Present,\citet[352]{pawley1970change}
GB113,TransitivizingBound,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,Proto-Central Pacific,Present,"\citet[352]{pawley1970change}, \citet[4]{marck2000_encyclo}"
GB113,TransitivizingBound,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,Proto-Polynesian,Present,"\citet[4]{marck2000_encyclo}, \citet[57]{jonsson1998}, \citet[352]{pawley1970change}"
GB133,TransVFinalOrder,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,Proto-Central Pacific,Absent,\citet[122]{kikusawa2002proto}
GB133,TransVFinalOrder,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,Proto-Polynesian,Absent,"\cite[15]{chung1978}, \citet[118]{pawley1973some}"
GB139,NEGProhibitive,Is there a difference between imperative (prohibitive) and declarative negation constructions?,Proto-Polynesian,Present,"\citet[142]{pawley1973some}, \citet[292]{ross2007two}, \citet[xiii, 125]{clark1976aspects}, \citet[89]{lynchrosscrowley_proto_grammar_oceanic}"
GB155,CAUSBound,Are causatives formed by affixes or clitics on verbs?,Proto-Central Pacific,Present,\citet[352]{pawley1970change}
GB193a,OrderANMN,Is the order of the adnominal property and the noun ANM-N?,Proto-Polynesian,Absent,\citet[xiv]{clark1976aspects}
GB193b,OrderNANM,Is the order of the adnominal property and the noun N-ANM?,Proto-Polynesian,Present,\citet[495]{ross2004morphosyntactic}
GB299,NEGPart,"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Polynesian,Present,\citet[130]{clark1976aspects}
GB327,RELPost,Can the relative clause follow the noun?,Proto-Polynesian,Present,\citet[74]{clark1976aspects}
GB328,RELPre,Can the relative clause precede the noun?,Proto-Polynesian,Absent,\citet[74]{clark1976aspects}
GB519,MoodAuxPart,"Can mood be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Polynesian,Present,\citet[20]{chung1978}
GB520,AspectAuxPart,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Central Pacific,Present,\citet[347]{pawley1970change}
GB520,AspectAuxPart,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Polynesian,Present,\citet[20]{chung1978}
GB522,PRODrop,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?",Proto-Polynesian,Present,\citet[30]{chung1978}
GB133,TransVFinalOrder,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,Proto-Polynesian,Absent,\citet[122]{kikusawa2002proto}
GB022,ARTPre,Are there prenominal articles?,Proto-Polynesian,Present,"\citet[xiv]{clark1976aspects}, \citet[23]{chung1978}, \citet[53]{clark1976aspects} , \citet[136]{crowley1985common}"
GB073,ObliqueCasePRO,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?,Proto-Central Pacific,Absent,\citet[1]{kikusawa2002proto}
GB020,ARTDef,Are there definite or specific articles?,Proto-Polynesian,Present,"\citet[23]{chung1978}, \citet[53]{clark1976aspects}"
GB021,ARTIndef,Do indefinite nominals commonly have indefinite articles?,Proto-Polynesian,Present,"\citet[23]{chung1978}, \citet[53]{clark1976aspects}, \citet[73]{lynchrosscrowley_proto_grammar_oceanic}"
