Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB036	Proto-Eastern Polynesian	0.99718733644293	0.0028126635570699444	111	8	0.07207207207207207	Absent	NA	NA
GB036	Proto-Oceanic	0.9562848539074625	0.0437151460925375	111	8	0.07207207207207207	Absent	NA	NA
GB036	Proto-Polynesian	0.994241953713284	0.005758046286715922	111	8	0.07207207207207207	Absent	NA	NA
GB037	Proto-Central Pacific	0.9097226702593743	0.09027732974062576	111	11	0.0990990990990991	Absent	NA	NA
GB037	Proto-Eastern Polynesian	0.8832833777014049	0.11671662229859515	111	11	0.0990990990990991	Absent	NA	NA
GB037	Proto-Oceanic	0.910353119020831	0.08964688097916897	111	11	0.0990990990990991	Absent	NA	NA
GB037	Proto-Polynesian	0.8937407315900263	0.10625926840997366	111	11	0.0990990990990991	Absent	NA	NA
GB038	Proto-Central Pacific	0.9585254019543188	0.04147459804568117	119	5	0.042016806722689086	Absent	NA	NA
GB038	Proto-Eastern Polynesian	0.9626297039310117	0.037370296068988326	119	5	0.042016806722689086	Absent	NA	NA
GB038	Proto-Oceanic	0.9581029464208237	0.0418970535791763	119	5	0.042016806722689086	Absent	NA	NA
GB038	Proto-Polynesian	0.9622002928404124	0.03779970715958755	119	5	0.042016806722689086	Absent	NA	NA
GB039	Proto-Central Pacific	0.8904641832649204	0.10953581673507959	119	13	0.1092436974789916	Absent	NA	NA
GB039	Proto-Eastern Polynesian	0.892573113994055	0.107426886005945	119	13	0.1092436974789916	Absent	NA	NA
GB039	Proto-Oceanic	0.8904508718672176	0.10954912813278238	119	13	0.1092436974789916	Absent	NA	NA
GB039	Proto-Polynesian	0.8902998385599056	0.10970016144009438	119	13	0.1092436974789916	Absent	NA	NA
GB041	Proto-Central Pacific	0.9673639770471736	0.03263602295282639	96	3	0.03125	Absent	NA	NA
GB041	Proto-Eastern Polynesian	0.9673640969430769	0.032635903056923155	96	3	0.03125	Absent	NA	NA
GB041	Proto-Oceanic	0.9673639769500385	0.03263602304996152	96	3	0.03125	Absent	NA	NA
GB041	Proto-Polynesian	0.9673639869007296	0.03263601309927047	96	3	0.03125	Absent	NA	NA
GB042	Proto-Central Pacific	0.97512703421233	0.02487296578766994	129	3	0.023255813953488375	Absent	NA	NA
GB042	Proto-Eastern Polynesian	0.9902939479816072	0.009706052018392844	129	3	0.023255813953488375	Absent	NA	NA
GB042	Proto-Oceanic	0.9744479884507472	0.025552011549252778	129	3	0.023255813953488375	Absent	NA	NA
GB042	Proto-Polynesian	0.9865477148508811	0.01345228514911884	129	3	0.023255813953488375	Absent	NA	NA
GB043	Proto-Central Pacific	0.9819608876501108	0.01803911234988925	128	2	0.015625	Absent	NA	NA
GB043	Proto-Eastern Polynesian	0.9761197724059143	0.02388022759408572	128	2	0.015625	Absent	NA	NA
GB043	Proto-Oceanic	0.9819696273602962	0.018030372639703786	128	2	0.015625	Absent	NA	NA
GB043	Proto-Polynesian	0.9808720540583037	0.01912794594169631	128	2	0.015625	Absent	NA	NA
GB044	Proto-Central Pacific	0.9928788020001378	0.00712119799986225	126	15	0.11904761904761905	Absent	NA	NA
GB044	Proto-Eastern Polynesian	0.9982062159763504	0.0017937840236495709	126	15	0.11904761904761905	Absent	NA	NA
GB044	Proto-Oceanic	0.9946254842623109	0.0053745157376890625	126	15	0.11904761904761905	Absent	NA	NA
GB044	Proto-Polynesian	0.9972962616448838	0.0027037383551162105	126	15	0.11904761904761905	Absent	NA	NA
GB046	Proto-Central Pacific	0.6812720040411187	0.3187279959588813	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Eastern Polynesian	0.6631082727439094	0.3368917272560906	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Oceanic	0.6822687133718356	0.31773128662816447	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Polynesian	0.6777335456262391	0.32226645437376084	66	21	0.3181818181818182	Absent	NA	NA
GB047	Proto-Central Pacific	0.28085740274473037	0.7191425972552696	104	30	0.28846153846153844	Present	NA	NA
GB047	Proto-Eastern Polynesian	0.28778939186993835	0.7122106081300617	104	30	0.28846153846153844	Present	NA	NA
GB047	Proto-Oceanic	0.2808163755287635	0.7191836244712365	104	30	0.28846153846153844	Present	1	True Positive
GB047	Proto-Polynesian	0.28584488622410675	0.7141551137758932	104	30	0.28846153846153844	Present	NA	NA
GB048	Proto-Central Pacific	0.7419714556187712	0.2580285443812288	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Eastern Polynesian	0.9103094833282256	0.0896905166717744	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Oceanic	0.6880769699498424	0.3119230300501577	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Polynesian	0.8958153092435357	0.10418469075646435	95	32	0.3368421052631579	Absent	NA	NA
GB049	Proto-Central Pacific	0.352131086738987	0.6478689132610129	102	41	0.4019607843137255	Present	NA	NA
GB049	Proto-Eastern Polynesian	0.6328246488710956	0.3671753511289045	102	41	0.4019607843137255	Absent	NA	NA
GB049	Proto-Oceanic	0.4007302422429881	0.599269757757012	102	41	0.4019607843137255	Half	1	Half
GB049	Proto-Polynesian	0.3642886937659649	0.6357113062340352	102	41	0.4019607843137255	Present	NA	NA
GB051	Proto-Central Pacific	0.9993026110861104	6.973889138896469e-4	124	2	0.016129032258064516	Absent	NA	NA
GB051	Proto-Eastern Polynesian	0.9995711691038757	4.2883089612436075e-4	124	2	0.016129032258064516	Absent	NA	NA
GB051	Proto-Oceanic	0.9993835150918503	6.164849081496981e-4	124	2	0.016129032258064516	Absent	0	True Negative
GB051	Proto-Polynesian	0.9994960666950428	5.039333049571595e-4	124	2	0.016129032258064516	Absent	NA	NA
GB052	Proto-Central Pacific	0.9937566383285559	0.006243361671444129	123	3	0.024390243902439025	Absent	NA	NA
GB052	Proto-Eastern Polynesian	0.9994408794053459	5.591205946541072e-4	123	3	0.024390243902439025	Absent	NA	NA
GB052	Proto-Oceanic	0.9968841923915938	0.003115807608406257	123	3	0.024390243902439025	Absent	0	True Negative
GB052	Proto-Polynesian	0.9988242231767529	0.0011757768232470403	123	3	0.024390243902439025	Absent	NA	NA
GB053	Proto-Central Pacific	0.9359306739645855	0.06406932603541453	121	9	0.0743801652892562	Absent	NA	NA
GB053	Proto-Eastern Polynesian	0.9953166899966263	0.004683310003373738	121	9	0.0743801652892562	Absent	NA	NA
GB053	Proto-Oceanic	0.922217248295392	0.07778275170460801	121	9	0.0743801652892562	Absent	0	True Negative
GB053	Proto-Polynesian	0.9883605920949177	0.011639407905082291	121	9	0.0743801652892562	Absent	NA	NA
GB054	Proto-Central Pacific	0.9991932052725705	8.067947274294494e-4	121	3	0.02479338842975207	Absent	NA	NA
GB054	Proto-Eastern Polynesian	0.9994900005663678	5.099994336321629e-4	121	3	0.02479338842975207	Absent	NA	NA
GB054	Proto-Oceanic	0.9991848445606358	8.151554393642106e-4	121	3	0.02479338842975207	Absent	0	True Negative
GB054	Proto-Polynesian	0.9993392624193924	6.607375806076137e-4	121	3	0.02479338842975207	Absent	NA	NA
GB057	Proto-Central Pacific	0.2985573287439868	0.7014426712560132	121	40	0.33057851239669417	Present	NA	NA
GB057	Proto-Eastern Polynesian	0.003389351876707535	0.9966106481232925	121	40	0.33057851239669417	Present	NA	NA
GB057	Proto-Oceanic	0.9793653698251872	0.020634630174812887	121	40	0.33057851239669417	Absent	NA	NA
GB057	Proto-Polynesian	0.006025136387101357	0.9939748636128987	121	40	0.33057851239669417	Present	NA	NA
GB058	Proto-Central Pacific	0.24647164625641269	0.7535283537435873	120	52	0.4333333333333334	Present	NA	NA
GB058	Proto-Eastern Polynesian	0.9973854082842495	0.0026145917157504974	120	52	0.4333333333333334	Absent	NA	NA
GB058	Proto-Oceanic	0.0822220371552975	0.9177779628447025	120	52	0.4333333333333334	Present	1	True Positive
GB058	Proto-Polynesian	0.9766146830463559	0.02338531695364409	120	52	0.4333333333333334	Absent	NA	NA
GB059	Proto-Central Pacific	0.025706756662542345	0.9742932433374576	126	3	0.023809523809523808	Present	NA	NA
GB059	Proto-Eastern Polynesian	0.024847080957202443	0.9751529190427976	126	3	0.023809523809523808	Present	NA	NA
GB059	Proto-Oceanic	0.025517592201597415	0.9744824077984026	126	3	0.023809523809523808	Present	1	True Positive
GB059	Proto-Polynesian	0.02649175903771257	0.9735082409622874	126	3	0.023809523809523808	Present	1	True Positive
GB065a	Proto-Central Pacific	0.19186467714177444	0.8081353228582255	131	61	0.4656488549618321	Present	NA	NA
GB065a	Proto-Eastern Polynesian	0.015255159087543223	0.9847448409124567	131	61	0.4656488549618321	Present	NA	NA
GB065a	Proto-Oceanic	0.14271312910660744	0.8572868708933926	131	61	0.4656488549618321	Present	1	True Positive
GB065a	Proto-Polynesian	0.0910262515781028	0.9089737484218972	131	61	0.4656488549618321	Present	NA	NA
GB065b	Proto-Central Pacific	0.06784264317560976	0.9321573568243903	131	22	0.16793893129770993	Present	NA	NA
GB065b	Proto-Eastern Polynesian	0.061566929415273766	0.9384330705847262	131	22	0.16793893129770993	Present	NA	NA
