Feature_ID,LogLikelihood,AICc,pRoot0,pRoot1,q01,q10,nTips,nTips_state_0,nTips_state_1
GB020,-79.12082946378467,162.33689702280745,0.9850832091923828,0.014916790807617191,0.34405572760961106,0.1738041383320651,129,51,78
GB021,-65.05307613487595,134.21234696001738,0.9998381758979403,1.6182410205962822e-4,0.14157076872834354,0.2161577388510558,116,74,42
GB022,-67.62480082631376,139.3440898416039,0.9971306675607156,0.002869332439284483,0.24020689015929586,0.06585951060410603,130,49,81
GB023,-61.28889316992476,126.67302443508763,0.7812773782785429,0.21872262172145704,0.13799653309284746,0.5427010366611645,129,104,25
GB024a,-75.1144948101864,154.32655059598255,0.0804284738285105,0.9195715261714896,0.09186018913651457,0.24068709461103244,126,65,61
GB024b,-64.02504295328947,132.1476468821887,2.8786805404866154e-5,0.9999712131945951,0.06608462278748557,0.12019680115102029,126,49,77
GB025a,-71.95273279027728,148.00382623629227,0.9995916060739561,4.083939260439431e-4,0.13724475272008904,0.1536562637624243,125,91,34
GB025b,-49.73452632966632,103.56741331507035,0.0011401393860056672,0.9988598606139943,0.16364852791399304,0.0761205037709175,125,19,106
GB026,NA,NA,NA,NA,NA,NA,116,116,0
GB027,-61.6920924217355,127.50539696468313,0.10744302734121595,0.8925569726587841,0.48363000875655043,0.19046098084928417,102,34,68
GB028,-9.958456275988096,24.009935807790146,6.246898618944398e-6,0.99999375310138106,0.19489447784999295,0.011000340404885437,132,2,130
GB030,-21.657742162952978,47.409234325905956,0.9999710970887252,2.8902911274736144e-5,0.026739666995977386,0.2451792018905011,131,125,6
GB031,-63.281485391797425,130.65745897257122,0.006233835955768173,0.9937661640442319,0.08412647598296827,0.139657202906792,130,42,88
GB035,-55.890475048266026,115.89104183965132,0.8458181949006376,0.1541818050993624,0.3781499930463258,0.10306476729164671,112,30,82
GB036,-27.534010593757966,59.17913229862704,0.9945180638600147,0.005481936139985307,0.05045116044851458,0.5367894124791166,111,103,8
GB037,-35.41629012493584,74.9436913609828,0.9119392286744513,0.08806077132554861,0.26388450293940857,2.733022185237375,111,100,11
GB038,-20.747575358940654,45.59859899374338,0.957739784025609,0.042260215974390954,1.628887129276167,36.91533446824819,119,114,5
GB039,-41.27363594753972,86.6507201709415,0.8901113800105922,0.1098886199894078,0.2743010708900892,2.2198898345594635,119,106,13
GB041,-13.393635553433798,30.916303364932112,0.9673726942844149,0.032627305715585045,2.3510638942984587,69.70710464688776,96,93,3
GB042,-14.196163315959131,32.487564727156354,0.9744261395122504,0.02557386048774963,0.05804071815696485,2.2075891539672594,129,126,3
GB043,-10.381470400155086,24.858940800310172,0.9819103918141158,0.01808960818588431,0.06880677525629263,3.7347506406836177,128,126,2
GB044,-42.6885985214221,89.47475801845395,0.9998533878991347,1.4661210086523943e-4,0.062297826068613824,0.21833018022598633,126,111,15
GB046,-41.28242974189454,86.75533567426527,0.6818181934981816,0.3181818065018185,29.1490874248342,62.4623335589976,66,45,21
GB047,-61.745918518431466,127.61064891805106,0.2795873329499049,0.7204126670500951,2.9627921846499734,1.1498397083237661,104,30,74
GB048,-59.946886887184185,124.02420855697707,0.6891298409402009,0.3108701590597991,0.28541325350183994,0.5666509324118081,95,63,32
GB049,-69.14759894572356,142.41641001265924,0.38907509436073395,0.6109249056392662,0.5756303439061062,0.3811476671287426,102,41,61
GB051,-9.81140983693243,23.72199322758387,0.9999985662980239,1.4337019761689294e-6,0.011061523900733894,0.1487614598712952,124,122,2
GB052,-13.697506393614571,31.495012787229143,0.9975242461150451,0.002475753884954854,0.022740209376667604,0.5715709062566388,123,120,3
GB053,-31.397384068333444,66.89646305192113,0.92035661168955,0.07964338831045005,0.0977829170775026,1.035318882521782,121,112,9
GB054,-11.119317369880516,26.340329655015267,0.9999995223213696,4.776786303886165e-7,0.010681751295706253,0.06577887298216485,121,118,3
GB057,-52.668988289157106,109.43967149356845,0.994567126017046,0.005432873982953907,0.06910023326835346,0.22064700192743558,121,81,40
GB058,-72.3001965464666,148.70295719549728,0.04310760490868522,0.9568923950913149,0.3114530149981257,0.2101760240038266,120,52,68
GB059,-14.199085800231135,32.49573257607203,0.025183943593999107,0.9748160564060009,6.442457577890786,0.1664380548879469,126,3,123
GB065a,-87.15993271035283,178.41361542070567,0.061804397858711335,0.9381956021412886,0.2517070578626421,0.28815263344789427,131,61,70
GB065b,-59.29099620456438,122.67574240912876,0.16793895151712362,0.8320610484828763,99.97824938179126,20.179099125370342,131,22,109
GB068,-66.06788909504237,136.245869933204,0.27678078551064034,0.7232192144893597,37.64615632920334,14.407433474524439,112,31,81
GB069,-68.80257676843262,141.72396541805335,0.6249999996994595,0.3750000003005405,59.84033941764918,99.73389890152593,104,65,39
GB070,-26.919887112994182,57.93894777970737,0.9435092310594598,0.05649076894054019,2.8322917966408028,47.3049580542501,124,117,7
GB071,-67.44389998135907,138.98697351643713,0.7661123579315458,0.23388764206845433,6.258784066637878,20.501005425814473,124,95,29
GB072,-53.272434961189006,110.64571025851247,0.7938082359924719,0.20619176400752817,0.13857203717992408,0.699828924696304,122,103,19
GB073,-70.56581394782762,145.23419199821933,0.7245015051092942,0.27549849489070577,4.044900290591863,10.637213643266604,120,87,33
GB074,-18.842958770431995,41.78191754086399,0.08853872934807848,0.9114612706519216,0.19720126944405175,0.01242744914205525,128,9,119
GB075,-33.2474097421305,70.59565982039545,0.8433263756891572,0.1566736243108427,0.026264175343005253,0.16731818209073923,122,107,15
GB079,-40.11627698377963,84.32630396755926,0.0916037029688154,0.9083962970311846,98.35994912910508,9.91872775516282,131,12,119
GB080,-59.25563865288321,122.6057654947428,0.22479635745274318,0.7752036425472567,0.6303003256873743,0.09889466585836744,130,26,104
GB081,-24.004613271746436,52.110066879627325,0.9999992097345161,7.902654839280069e-7,0.028530787314281176,0.03917451750819593,122,112,10
GB082,-32.74995518454081,69.59514846431972,0.9347452014657593,0.06525479853424063,0.09578815182221931,1.254647069700865,129,119,10
GB083,-52.212869255800946,108.5217385116019,0.8622204358695068,0.13777956413049305,0.40108179368832375,2.5098354916363963,128,110,18
