Feature_ID	Proto-language	Language_ID	Prediction	Historical Linguistics sources
GB177	Proto-Central Pacific	cent2060	NA	NA
GB184	Proto-Central Pacific	cent2060	NA	NA
GB185	Proto-Central Pacific	cent2060	NA	NA
GB186	Proto-Central Pacific	cent2060	NA	NA
GB187	Proto-Central Pacific	cent2060	NA	NA
GB188	Proto-Central Pacific	cent2060	NA	NA
GB192	Proto-Central Pacific	cent2060	NA	NA
GB193	Proto-Central Pacific	cent2060	NA	NA
GB196	Proto-Central Pacific	cent2060	NA	NA
GB197	Proto-Central Pacific	cent2060	NA	NA
GB198	Proto-Central Pacific	cent2060	NA	NA
GB203	Proto-Central Pacific	cent2060	NA	NA
GB204	Proto-Central Pacific	cent2060	NA	NA
GB250	Proto-Central Pacific	cent2060	NA	NA
GB252	Proto-Central Pacific	cent2060	NA	NA
GB253	Proto-Central Pacific	cent2060	NA	NA
GB254	Proto-Central Pacific	cent2060	NA	NA
GB256	Proto-Central Pacific	cent2060	NA	NA
GB257	Proto-Central Pacific	cent2060	NA	NA
GB260	Proto-Central Pacific	cent2060	NA	NA
GB262	Proto-Central Pacific	cent2060	NA	NA
GB263	Proto-Central Pacific	cent2060	NA	NA
GB264	Proto-Central Pacific	cent2060	NA	NA
GB265	Proto-Central Pacific	cent2060	NA	NA
GB266	Proto-Central Pacific	cent2060	NA	NA
GB270	Proto-Central Pacific	cent2060	NA	NA
GB273	Proto-Central Pacific	cent2060	NA	NA
GB275	Proto-Central Pacific	cent2060	NA	NA
GB276	Proto-Central Pacific	cent2060	NA	NA
GB285	Proto-Central Pacific	cent2060	NA	NA
GB286	Proto-Central Pacific	cent2060	NA	NA
GB291	Proto-Central Pacific	cent2060	NA	NA
GB296	Proto-Central Pacific	cent2060	NA	NA
GB297	Proto-Central Pacific	cent2060	NA	NA
GB298	Proto-Central Pacific	cent2060	NA	NA
GB299	Proto-Central Pacific	cent2060	NA	NA
GB300	Proto-Central Pacific	cent2060	NA	NA
GB301	Proto-Central Pacific	cent2060	NA	NA
GB302	Proto-Central Pacific	cent2060	NA	NA
GB303	Proto-Central Pacific	cent2060	NA	NA
GB304	Proto-Central Pacific	cent2060	NA	NA
GB305	Proto-Central Pacific	cent2060	NA	NA
GB306	Proto-Central Pacific	cent2060	NA	NA
GB309	Proto-Central Pacific	cent2060	NA	NA
GB312	Proto-Central Pacific	cent2060	NA	NA
GB313	Proto-Central Pacific	cent2060	NA	NA
GB314	Proto-Central Pacific	cent2060	NA	NA
GB315	Proto-Central Pacific	cent2060	NA	NA
GB316	Proto-Central Pacific	cent2060	NA	NA
GB317	Proto-Central Pacific	cent2060	NA	NA
GB318	Proto-Central Pacific	cent2060	NA	NA
GB319	Proto-Central Pacific	cent2060	NA	NA
GB320	Proto-Central Pacific	cent2060	NA	NA
GB321	Proto-Central Pacific	cent2060	NA	NA
GB322	Proto-Central Pacific	cent2060	NA	NA
GB323	Proto-Central Pacific	cent2060	NA	NA
GB324	Proto-Central Pacific	cent2060	NA	NA
GB325	Proto-Central Pacific	cent2060	NA	NA
GB326	Proto-Central Pacific	cent2060	NA	NA
GB327	Proto-Central Pacific	cent2060	NA	NA
GB328	Proto-Central Pacific	cent2060	NA	NA
GB329	Proto-Central Pacific	cent2060	NA	NA
GB330	Proto-Central Pacific	cent2060	NA	NA
GB331	Proto-Central Pacific	cent2060	NA	NA
GB333	Proto-Central Pacific	cent2060	NA	NA
GB334	Proto-Central Pacific	cent2060	NA	NA
GB335	Proto-Central Pacific	cent2060	NA	NA
GB336	Proto-Central Pacific	cent2060	NA	NA
GB400	Proto-Central Pacific	cent2060	NA	NA
GB401	Proto-Central Pacific	cent2060	NA	NA
GB402	Proto-Central Pacific	cent2060	NA	NA
GB403	Proto-Central Pacific	cent2060	NA	NA
GB408	Proto-Central Pacific	cent2060	NA	NA
GB415	Proto-Central Pacific	cent2060	NA	NA
GB421	Proto-Central Pacific	cent2060	NA	NA
GB422	Proto-Central Pacific	cent2060	NA	NA
GB430	Proto-Central Pacific	cent2060	NA	NA
GB431	Proto-Central Pacific	cent2060	NA	NA
GB432	Proto-Central Pacific	cent2060	NA	NA
GB433	Proto-Central Pacific	cent2060	NA	NA
GB519	Proto-Central Pacific	cent2060	NA	NA
GB522	Proto-Central Pacific	cent2060	NA	NA
GB408	Proto-Eastern Polynesian	east2449	1	\citet[106-107]{clark1976aspects}
GB409	Proto-Eastern Polynesian	east2449	0	\citet[106-107]{clark1976aspects}
GB147	Proto-Eastern Polynesian	east2449	1	\citet[108]{clark1976aspects}, \citet[139]{pawley1973some}, \citet[350]{pawley1970change}
GB140	Proto-Eastern Polynesian	east2449	0	\citet[130]{clark1976aspects}
GB020	Proto-Eastern Polynesian	east2449	NA	NA
GB021	Proto-Eastern Polynesian	east2449	NA	NA
GB022	Proto-Eastern Polynesian	east2449	NA	NA
GB023	Proto-Eastern Polynesian	east2449	NA	NA
GB024	Proto-Eastern Polynesian	east2449	NA	NA
GB025	Proto-Eastern Polynesian	east2449	NA	NA
GB026	Proto-Eastern Polynesian	east2449	NA	NA
GB027	Proto-Eastern Polynesian	east2449	NA	NA
GB028	Proto-Eastern Polynesian	east2449	NA	NA
GB030	Proto-Eastern Polynesian	east2449	NA	NA
GB031	Proto-Eastern Polynesian	east2449	NA	NA
GB035	Proto-Eastern Polynesian	east2449	NA	NA
GB036	Proto-Eastern Polynesian	east2449	NA	NA
GB037	Proto-Eastern Polynesian	east2449	NA	NA
GB038	Proto-Eastern Polynesian	east2449	NA	NA
GB039	Proto-Eastern Polynesian	east2449	NA	NA
GB041	Proto-Eastern Polynesian	east2449	NA	NA
GB042	Proto-Eastern Polynesian	east2449	NA	NA
GB043	Proto-Eastern Polynesian	east2449	NA	NA
GB044	Proto-Eastern Polynesian	east2449	NA	NA
GB046	Proto-Eastern Polynesian	east2449	NA	NA
GB047	Proto-Eastern Polynesian	east2449	NA	NA
GB048	Proto-Eastern Polynesian	east2449	NA	NA
GB049	Proto-Eastern Polynesian	east2449	NA	NA
GB051	Proto-Eastern Polynesian	east2449	NA	NA
GB052	Proto-Eastern Polynesian	east2449	NA	NA
GB053	Proto-Eastern Polynesian	east2449	NA	NA
GB054	Proto-Eastern Polynesian	east2449	NA	NA
GB057	Proto-Eastern Polynesian	east2449	NA	NA
GB058	Proto-Eastern Polynesian	east2449	NA	NA
GB059	Proto-Eastern Polynesian	east2449	NA	NA
GB065	Proto-Eastern Polynesian	east2449	NA	NA
GB068	Proto-Eastern Polynesian	east2449	NA	NA
GB069	Proto-Eastern Polynesian	east2449	NA	NA
GB070	Proto-Eastern Polynesian	east2449	NA	NA
GB071	Proto-Eastern Polynesian	east2449	NA	NA
GB072	Proto-Eastern Polynesian	east2449	NA	NA
GB073	Proto-Eastern Polynesian	east2449	NA	NA
GB074	Proto-Eastern Polynesian	east2449	NA	NA
GB075	Proto-Eastern Polynesian	east2449	NA	NA
GB079	Proto-Eastern Polynesian	east2449	NA	NA
GB080	Proto-Eastern Polynesian	east2449	NA	NA
GB081	Proto-Eastern Polynesian	east2449	NA	NA
GB082	Proto-Eastern Polynesian	east2449	NA	NA
GB083	Proto-Eastern Polynesian	east2449	NA	NA
GB084	Proto-Eastern Polynesian	east2449	NA	NA
GB086	Proto-Eastern Polynesian	east2449	NA	NA
GB089	Proto-Eastern Polynesian	east2449	NA	NA
GB090	Proto-Eastern Polynesian	east2449	NA	NA
GB091	Proto-Eastern Polynesian	east2449	NA	NA
GB092	Proto-Eastern Polynesian	east2449	NA	NA
GB093	Proto-Eastern Polynesian	east2449	NA	NA
GB094	Proto-Eastern Polynesian	east2449	NA	NA
GB095	Proto-Eastern Polynesian	east2449	NA	NA
GB096	Proto-Eastern Polynesian	east2449	NA	NA
GB098	Proto-Eastern Polynesian	east2449	NA	NA
GB099	Proto-Eastern Polynesian	east2449	NA	NA
GB103	Proto-Eastern Polynesian	east2449	NA	NA
GB104	Proto-Eastern Polynesian	east2449	NA	NA
GB105	Proto-Eastern Polynesian	east2449	NA	NA
GB107	Proto-Eastern Polynesian	east2449	NA	NA
GB108	Proto-Eastern Polynesian	east2449	NA	NA
GB109	Proto-Eastern Polynesian	east2449	NA	NA
GB110	Proto-Eastern Polynesian	east2449	NA	NA
GB111	Proto-Eastern Polynesian	east2449	NA	NA
GB113	Proto-Eastern Polynesian	east2449	NA	NA
