Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB036	Proto-Eastern Polynesian	0.9971873426019228	0.0028126573980772197	111	8	0.07207207207207207	Absent	NA	NA
GB036	Proto-Oceanic	0.9562865768169887	0.04371342318301129	111	8	0.07207207207207207	Absent	NA	NA
GB036	Proto-Polynesian	0.9942418908782464	0.005758109121753613	111	8	0.07207207207207207	Absent	NA	NA
GB037	Proto-Central Pacific	0.9096682424684069	0.09033175753159302	111	11	0.0990990990990991	Absent	NA	NA
GB037	Proto-Eastern Polynesian	0.8833170547307089	0.11668294526929113	111	11	0.0990990990990991	Absent	NA	NA
GB037	Proto-Oceanic	0.9102982629045717	0.08970173709542827	111	11	0.0990990990990991	Absent	NA	NA
GB037	Proto-Polynesian	0.8937265667928173	0.10627343320718274	111	11	0.0990990990990991	Absent	NA	NA
GB038	Proto-Central Pacific	0.9583286815749811	0.04167131842501897	119	5	0.04201680672268908	Absent	NA	NA
GB038	Proto-Eastern Polynesian	0.9617944338196827	0.03820556618031733	119	5	0.04201680672268908	Absent	NA	NA
GB038	Proto-Oceanic	0.9579132178799596	0.04208678212004035	119	5	0.04201680672268908	Absent	NA	NA
GB038	Proto-Polynesian	0.9614505332158394	0.038549466784160595	119	5	0.04201680672268908	Absent	NA	NA
GB039	Proto-Central Pacific	0.8904707104700764	0.10952928952992354	119	13	0.1092436974789916	Absent	NA	NA
GB039	Proto-Eastern Polynesian	0.8921204606082286	0.10787953939177146	119	13	0.1092436974789916	Absent	NA	NA
GB039	Proto-Oceanic	0.8904605533365233	0.10953944666347672	119	13	0.1092436974789916	Absent	NA	NA
GB039	Proto-Polynesian	0.8903484216536133	0.10965157834638668	119	13	0.1092436974789916	Absent	NA	NA
GB041	Proto-Central Pacific	0.9673637688425033	0.0326362311574967	96	3	0.03125	Absent	NA	NA
GB041	Proto-Eastern Polynesian	0.9673638881973295	0.0326361118026705	96	3	0.03125	Absent	NA	NA
GB041	Proto-Oceanic	0.9673637687461493	0.032636231253850734	96	3	0.03125	Absent	NA	NA
GB041	Proto-Polynesian	0.9673637786374853	0.03263622136251469	96	3	0.03125	Absent	NA	NA
GB042	Proto-Central Pacific	0.975127330087469	0.02487266991253104	129	3	0.023255813953488372	Absent	NA	NA
GB042	Proto-Eastern Polynesian	0.9902945033367602	0.009705496663239846	129	3	0.023255813953488372	Absent	NA	NA
GB042	Proto-Oceanic	0.9744482749148224	0.025551725085177595	129	3	0.023255813953488372	Absent	NA	NA
GB042	Proto-Polynesian	0.9865482086780542	0.013451791321945886	129	3	0.023255813953488372	Absent	NA	NA
GB043	Proto-Central Pacific	0.9819608935584735	0.01803910644152656	128	2	0.015625	Absent	NA	NA
GB043	Proto-Eastern Polynesian	0.9761201906319549	0.02387980936804513	128	2	0.015625	Absent	NA	NA
GB043	Proto-Oceanic	0.9819696315866641	0.018030368413335888	128	2	0.015625	Absent	NA	NA
GB043	Proto-Polynesian	0.98087215620105	0.019127843798950106	128	2	0.015625	Absent	NA	NA
GB044	Proto-Central Pacific	0.9928781182888766	0.007121881711123344	126	15	0.11904761904761904	Absent	NA	NA
GB044	Proto-Eastern Polynesian	0.9982061771123026	0.0017938228876973386	126	15	0.11904761904761904	Absent	NA	NA
GB044	Proto-Oceanic	0.9946250753890035	0.0053749246109964935	126	15	0.11904761904761904	Absent	NA	NA
GB044	Proto-Polynesian	0.9972961337519474	0.002703866248052663	126	15	0.11904761904761904	Absent	NA	NA
GB046	Proto-Central Pacific	0.6812795453791121	0.318720454620888	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Eastern Polynesian	0.6609585259773312	0.3390414740226689	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Oceanic	0.6823413292531044	0.3176586707468956	66	21	0.3181818181818182	Absent	NA	NA
GB046	Proto-Polynesian	0.6771921906136846	0.3228078093863154	66	21	0.3181818181818182	Absent	NA	NA
GB047	Proto-Central Pacific	0.2808566803538053	0.7191433196461947	104	30	0.28846153846153844	Present	NA	NA
GB047	Proto-Eastern Polynesian	0.2877887463933631	0.712211253606637	104	30	0.28846153846153844	Present	NA	NA
GB047	Proto-Oceanic	0.2808156403306362	0.7191843596693638	104	30	0.28846153846153844	Present	1	True Positive
GB047	Proto-Polynesian	0.28584419934186966	0.7141558006581303	104	30	0.28846153846153844	Present	NA	NA
GB048	Proto-Central Pacific	0.7419686241939804	0.2580313758060197	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Eastern Polynesian	0.9103075011681162	0.08969249883188382	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Oceanic	0.6880729268989408	0.31192707310105916	95	32	0.3368421052631579	Absent	NA	NA
GB048	Proto-Polynesian	0.8958134685578971	0.1041865314421029	95	32	0.3368421052631579	Absent	NA	NA
